     density            D        error          msd         error
  0.8300E+00   0.1144E+03   0.3027E+00   0.1078E+03    0.7179E+00
  0.8600E+00   0.1003E+03   0.2649E+00   0.9461E+02    0.6336E+00
  0.8900E+00   0.1125E+03   0.2938E+00   0.1059E+03    0.7063E+00
  0.9200E+00   0.1102E+03   0.2879E+00   0.1038E+03    0.6943E+00
  0.9500E+00   0.1114E+03   0.2902E+00   0.1049E+03    0.7022E+00
  0.9800E+00   0.1119E+03   0.2893E+00   0.1053E+03    0.7040E+00
  0.1010E+01   0.1159E+03   0.3038E+00   0.1095E+03    0.7374E+00
  0.1040E+01   0.1161E+03   0.3018E+00   0.1095E+03    0.7365E+00
  0.1070E+01   0.1184E+03   0.3096E+00   0.1118E+03    0.7551E+00
  0.1100E+01   0.1205E+03   0.3155E+00   0.1139E+03    0.7700E+00
