     density            D        error          msd         error
  0.8300E+00   0.5359E-02   0.1423E-03   0.7163E-01    0.3200E-02
  0.8600E+00   0.8298E-02   0.2354E-03   0.1096E+00    0.4783E-02
  0.8900E+00   0.1054E-01   0.3606E-03   0.1340E+00    0.5358E-02
  0.9200E+00   0.1252E-01   0.4610E-03   0.1567E+00    0.6029E-02
  0.9500E+00   0.1411E-01   0.5468E-03   0.1744E+00    0.6521E-02
  0.9800E+00   0.1330E-01   0.5089E-03   0.1650E+00    0.6226E-02
  0.1010E+01   0.1516E-01   0.6114E-03   0.1855E+00    0.6781E-02
  0.1040E+01   0.1612E-01   0.6632E-03   0.1962E+00    0.7077E-02
  0.1070E+01   0.1692E-01   0.7092E-03   0.2050E+00    0.7308E-02
  0.1100E+01   0.1764E-01   0.7509E-03   0.2128E+00    0.7511E-02
