rho     D(T=0.75)   D(T=1.15)   D(T=1.35)   D(T=2.74)
0.83    0.09        0.032       0.04        0.08
0.86    0.028       0.045       0.06        0.14
0.89    0.022       0.06        0.08        0.18
0.92    0.022       0.075       0.095       0.225
0.95    0.022       0.08        0.105       0.26
0.98    0.022       0.07        0.115       0.27
1.01    0.022       0.07        0.11        0.31
1.04    0.022       0.07        0.11        0.33
1.07    0.022       0.07        0.11        0.35
1.1     0.022       0.07        0.11        0.36
