     density            D        error          msd         error
  0.1000E+00   0.9714E-01   0.6616E-05   0.1913E+00    0.6583E-04
  0.2222E+00   0.1276E+00   0.8825E-05   0.2436E+00    0.9407E-04
  0.3444E+00   0.1618E+00   0.1260E-04   0.3046E+00    0.1389E-03
  0.4667E+00   0.1951E+00   0.1677E-04   0.3636E+00    0.1896E-03
  0.5889E+00   0.2256E+00   0.2094E-04   0.4169E+00    0.2411E-03
  0.7111E+00   0.2522E+00   0.2430E-04   0.4620E+00    0.2853E-03
  0.8333E+00   0.2714E+00   0.2521E-04   0.4906E+00    0.3042E-03
  0.9556E+00   0.2808E+00   0.2391E-04   0.5006E+00    0.3010E-03
  0.1078E+01   0.2866E+00   0.2264E-04   0.5062E+00    0.2995E-03
  0.1200E+01   0.2898E+00   0.2173E-04   0.5091E+00    0.2996E-03
