     density            D        error          msd         error
  0.1000E+00   0.5038E-01   0.1119E-05   0.9378E-01    0.1242E-04
  0.2222E+00   0.7572E-01   0.2218E-05   0.1387E+00    0.2538E-04
  0.3444E+00   0.1006E+00   0.3635E-05   0.1827E+00    0.4257E-04
  0.4667E+00   0.1208E+00   0.4843E-05   0.2172E+00    0.5781E-04
  0.5889E+00   0.1391E+00   0.5873E-05   0.2474E+00    0.7185E-04
  0.7111E+00   0.1569E+00   0.7047E-05   0.2770E+00    0.8698E-04
  0.8333E+00   0.1732E+00   0.7926E-05   0.3019E+00    0.9743E-04
  0.9556E+00   0.1803E+00   0.7652E-05   0.3093E+00    0.9587E-04
  0.1078E+01   0.1845E+00   0.7292E-05   0.3133E+00    0.9543E-04
  0.1200E+01   0.1871E+00   0.6940E-05   0.3157E+00    0.9545E-04
