           j          N/4       cuad01       cuad02       cuad03       cuad04
         100   0.2500E+06   0.2502E+06   0.2498E+06   0.2496E+06   0.2505E+06   0.2500E+06
         200   0.2500E+06   0.2503E+06   0.2501E+06   0.2493E+06   0.2503E+06   0.2500E+06
         300   0.2500E+06   0.2509E+06   0.2500E+06   0.2491E+06   0.2501E+06   0.2500E+06
         400   0.2500E+06   0.2504E+06   0.2502E+06   0.2496E+06   0.2498E+06   0.2500E+06
         500   0.2500E+06   0.2512E+06   0.2495E+06   0.2496E+06   0.2497E+06   0.2500E+06
         600   0.2500E+06   0.2495E+06   0.2505E+06   0.2503E+06   0.2498E+06   0.2500E+06
         700   0.2500E+06   0.2505E+06   0.2495E+06   0.2501E+06   0.2499E+06   0.2500E+06
         800   0.2500E+06   0.2502E+06   0.2503E+06   0.2496E+06   0.2499E+06   0.2500E+06
         900   0.2500E+06   0.2508E+06   0.2500E+06   0.2500E+06   0.2493E+06   0.2500E+06
        1000   0.2500E+06   0.2501E+06   0.2500E+06   0.2503E+06   0.2496E+06   0.2500E+06
