           n       Iaprox        E_rel
          10   0.2500E+00   0.0000E+00
          20   0.2625E+00   0.5000E-01
          30   0.2587E+00   0.3500E-01
          40   0.2565E+00   0.2587E-01
          50   0.2551E+00   0.2052E-01
          60   0.2543E+00   0.1701E-01
          70   0.2536E+00   0.1453E-01
          80   0.2532E+00   0.1268E-01
          90   0.2528E+00   0.1125E-01
         100   0.2525E+00   0.1011E-01
         110   0.2523E+00   0.9183E-02
         120   0.2521E+00   0.8410E-02
         130   0.2519E+00   0.7757E-02
         140   0.2518E+00   0.7198E-02
         150   0.2517E+00   0.6715E-02
         160   0.2516E+00   0.6292E-02
         170   0.2515E+00   0.5919E-02
         180   0.2514E+00   0.5588E-02
         190   0.2513E+00   0.5293E-02
         200   0.2513E+00   0.5026E-02
         210   0.2512E+00   0.4786E-02
         220   0.2511E+00   0.4567E-02
         230   0.2511E+00   0.4368E-02
         240   0.2510E+00   0.4185E-02
         250   0.2510E+00   0.4017E-02
         260   0.2510E+00   0.3862E-02
         270   0.2509E+00   0.3718E-02
         280   0.2509E+00   0.3585E-02
         290   0.2509E+00   0.3461E-02
         300   0.2508E+00   0.3345E-02
         310   0.2508E+00   0.3237E-02
         320   0.2508E+00   0.3135E-02
         330   0.2508E+00   0.3040E-02
         340   0.2507E+00   0.2950E-02
         350   0.2507E+00   0.2866E-02
         360   0.2507E+00   0.2786E-02
         370   0.2507E+00   0.2710E-02
         380   0.2507E+00   0.2639E-02
         390   0.2506E+00   0.2571E-02
         400   0.2506E+00   0.2506E-02
         410   0.2506E+00   0.2445E-02
         420   0.2506E+00   0.2387E-02
         430   0.2506E+00   0.2331E-02
         440   0.2506E+00   0.2278E-02
         450   0.2506E+00   0.2227E-02
         460   0.2505E+00   0.2179E-02
         470   0.2505E+00   0.2132E-02
         480   0.2505E+00   0.2088E-02
         490   0.2505E+00   0.2045E-02
         500   0.2505E+00   0.2004E-02
         510   0.2505E+00   0.1965E-02
         520   0.2505E+00   0.1927E-02
         530   0.2505E+00   0.1890E-02
         540   0.2505E+00   0.1855E-02
         550   0.2505E+00   0.1822E-02
         560   0.2504E+00   0.1789E-02
         570   0.2504E+00   0.1758E-02
         580   0.2504E+00   0.1727E-02
         590   0.2504E+00   0.1698E-02
         600   0.2504E+00   0.1669E-02
         610   0.2504E+00   0.1642E-02
         620   0.2504E+00   0.1616E-02
         630   0.2504E+00   0.1590E-02
         640   0.2504E+00   0.1565E-02
         650   0.2504E+00   0.1541E-02
         660   0.2504E+00   0.1517E-02
         670   0.2504E+00   0.1495E-02
         680   0.2504E+00   0.1473E-02
         690   0.2504E+00   0.1451E-02
         700   0.2504E+00   0.1431E-02
         710   0.2504E+00   0.1410E-02
         720   0.2503E+00   0.1391E-02
         730   0.2503E+00   0.1372E-02
         740   0.2503E+00   0.1353E-02
         750   0.2503E+00   0.1335E-02
         760   0.2503E+00   0.1318E-02
         770   0.2503E+00   0.1300E-02
         780   0.2503E+00   0.1284E-02
         790   0.2503E+00   0.1267E-02
         800   0.2503E+00   0.1252E-02
         810   0.2503E+00   0.1236E-02
         820   0.2503E+00   0.1221E-02
         830   0.2503E+00   0.1206E-02
         840   0.2503E+00   0.1192E-02
         850   0.2503E+00   0.1178E-02
         860   0.2503E+00   0.1164E-02
         870   0.2503E+00   0.1151E-02
         880   0.2503E+00   0.1138E-02
         890   0.2503E+00   0.1125E-02
         900   0.2503E+00   0.1112E-02
         910   0.2503E+00   0.1100E-02
         920   0.2503E+00   0.1088E-02
