           n       Iaprox        E_rel
          10   0.2331E+00   0.6744E-01
          20   0.1790E+00   0.2841E+00
          30   0.2007E+00   0.1972E+00
          40   0.1987E+00   0.2053E+00
          50   0.2733E+00   0.9333E-01
          60   0.2572E+00   0.2879E-01
          70   0.2087E+00   0.1650E+00
          80   0.2044E+00   0.1826E+00
          90   0.2798E+00   0.1193E+00
         100   0.2941E+00   0.1764E+00
         110   0.2545E+00   0.1788E-01
         120   0.2473E+00   0.1077E-01
         130   0.3150E+00   0.2601E+00
         140   0.2401E+00   0.3943E-01
         150   0.2972E+00   0.1889E+00
         160   0.2124E+00   0.1505E+00
         170   0.2545E+00   0.1780E-01
         180   0.2670E+00   0.6789E-01
         190   0.2466E+00   0.1363E-01
         200   0.2652E+00   0.6099E-01
         210   0.2643E+00   0.5709E-01
         220   0.2121E+00   0.1515E+00
         230   0.2450E+00   0.2006E-01
         240   0.2340E+00   0.6415E-01
         250   0.2503E+00   0.1256E-02
         260   0.2421E+00   0.3149E-01
         270   0.2479E+00   0.8202E-02
         280   0.2479E+00   0.8466E-02
         290   0.2595E+00   0.3784E-01
         300   0.2649E+00   0.5970E-01
         310   0.2614E+00   0.4554E-01
         320   0.2546E+00   0.1848E-01
         330   0.2310E+00   0.7601E-01
         340   0.2565E+00   0.2604E-01
         350   0.2745E+00   0.9789E-01
         360   0.2548E+00   0.1910E-01
         370   0.2457E+00   0.1730E-01
         380   0.2374E+00   0.5053E-01
         390   0.2572E+00   0.2866E-01
         400   0.2682E+00   0.7279E-01
         410   0.2729E+00   0.9167E-01
         420   0.2520E+00   0.7934E-02
         430   0.2657E+00   0.6280E-01
         440   0.2424E+00   0.3042E-01
         450   0.2505E+00   0.1831E-02
         460   0.2662E+00   0.6499E-01
         470   0.2746E+00   0.9856E-01
         480   0.2561E+00   0.2439E-01
         490   0.2395E+00   0.4201E-01
         500   0.2480E+00   0.7846E-02
         510   0.2368E+00   0.5297E-01
         520   0.2461E+00   0.1550E-01
         530   0.2544E+00   0.1766E-01
         540   0.2350E+00   0.6019E-01
         550   0.2774E+00   0.1096E+00
         560   0.2376E+00   0.4962E-01
         570   0.2518E+00   0.7112E-02
         580   0.2744E+00   0.9762E-01
         590   0.2477E+00   0.9312E-02
         600   0.2589E+00   0.3579E-01
         610   0.2477E+00   0.9345E-02
         620   0.2451E+00   0.1974E-01
         630   0.2496E+00   0.1403E-02
         640   0.2417E+00   0.3307E-01
         650   0.2490E+00   0.4002E-02
         660   0.2256E+00   0.9762E-01
         670   0.2450E+00   0.1993E-01
         680   0.2627E+00   0.5094E-01
         690   0.2425E+00   0.2989E-01
         700   0.2454E+00   0.1823E-01
         710   0.2543E+00   0.1718E-01
         720   0.2480E+00   0.8082E-02
         730   0.2498E+00   0.7630E-03
         740   0.2592E+00   0.3694E-01
         750   0.2482E+00   0.7284E-02
         760   0.2434E+00   0.2621E-01
         770   0.2385E+00   0.4603E-01
         780   0.2466E+00   0.1365E-01
         790   0.2331E+00   0.6756E-01
         800   0.2423E+00   0.3099E-01
         810   0.2423E+00   0.3089E-01
         820   0.2647E+00   0.5872E-01
         830   0.2512E+00   0.4967E-02
         840   0.2429E+00   0.2822E-01
         850   0.2417E+00   0.3333E-01
         860   0.2607E+00   0.4278E-01
         870   0.2482E+00   0.7084E-02
         880   0.2462E+00   0.1515E-01
         890   0.2571E+00   0.2858E-01
         900   0.2580E+00   0.3192E-01
         910   0.2553E+00   0.2129E-01
         920   0.2593E+00   0.3733E-01
         930   0.2623E+00   0.4934E-01
         940   0.2572E+00   0.2874E-01
         950   0.2269E+00   0.9252E-01
         960   0.2662E+00   0.6481E-01
         970   0.2567E+00   0.2662E-01
         980   0.2455E+00   0.1806E-01
         990   0.2692E+00   0.7667E-01
        1000   0.2472E+00   0.1108E-01
        1010   0.2603E+00   0.4114E-01
        1020   0.2447E+00   0.2134E-01
        1030   0.2467E+00   0.1331E-01
        1040   0.2422E+00   0.3119E-01
        1050   0.2579E+00   0.3162E-01
        1060   0.2684E+00   0.7375E-01
        1070   0.2721E+00   0.8857E-01
