 n-dimension   ex_volumen n-ball/n-cub
           1   0.2000E+01   0.1000E+01
           2   0.3142E+01   0.7854E+00
           3   0.4189E+01   0.5236E+00
           4   0.4935E+01   0.3084E+00
           5   0.5264E+01   0.1645E+00
           6   0.5168E+01   0.8075E-01
           7   0.4725E+01   0.3691E-01
           8   0.4059E+01   0.1585E-01
           9   0.3299E+01   0.6442E-02
          10   0.2550E+01   0.2490E-02
          11   0.1884E+01   0.9200E-03
          12   0.1335E+01   0.3260E-03
          13   0.9106E+00   0.1112E-03
          14   0.5993E+00   0.3658E-04
          15   0.3814E+00   0.1164E-04
          16   0.2353E+00   0.3591E-05
          17   0.1410E+00   0.1076E-05
          18   0.8215E-01   0.3134E-06
          19   0.4662E-01   0.8892E-07
          20   0.2581E-01   0.2461E-07
          21   0.1395E-01   0.6651E-08
          22   0.7370E-02   0.1757E-08
          23   0.3811E-02   0.4543E-09
          24   0.1930E-02   0.1150E-09
          25   0.9577E-03   0.2854E-10
          26   0.4663E-03   0.6948E-11
          27   0.2229E-03   0.1661E-11
          28   0.1046E-03   0.3898E-12
          29   0.4829E-04   0.8994E-13
          30   0.2192E-04   0.2041E-13
          31   0.9787E-05   0.4557E-14
          32   0.4303E-05   0.1002E-14
          33   0.1863E-05   0.2169E-15
          34   0.7952E-06   0.4629E-16
          35   0.3345E-06   0.9736E-17
          36   0.1388E-06   0.2020E-17
          37   0.5681E-07   0.4133E-18
          38   0.2295E-07   0.8349E-19
          39   0.9152E-08   0.1665E-19
          40   0.3605E-08   0.3278E-20
          41   0.1403E-08   0.6378E-21
          42   0.5393E-09   0.1226E-21
          43   0.2049E-09   0.2330E-22
          44   0.7701E-10   0.4377E-23
          45   0.2862E-10   0.8133E-24
          46   0.1052E-10   0.1495E-24
          47   0.3825E-11   0.2718E-25
          48   0.1377E-11   0.4892E-26
          49   0.4905E-12   0.8714E-27
          50   0.1730E-12   0.1537E-27
          51   0.6043E-13   0.2684E-28
          52   0.2091E-13   0.4642E-29
          53   0.7164E-14   0.7954E-30
          54   0.2433E-14   0.1350E-30
          55   0.8185E-15   0.2272E-31
          56   0.2729E-15   0.3788E-32
          57   0.9022E-16   0.6260E-33
          58   0.2957E-16   0.1026E-33
          59   0.9608E-17   0.1667E-34
          60   0.3096E-17   0.2686E-35
          61   0.9896E-18   0.4292E-36
          62   0.3138E-18   0.6804E-37
          63   0.9870E-19   0.1070E-37
          64   0.3081E-19   0.1670E-38
          65   0.9541E-20   0.2586E-39
          66   0.2933E-20   0.3974E-40
          67   0.8947E-21   0.6063E-41
          68   0.2710E-21   0.9181E-42
          69   0.8147E-22   0.1380E-42
          70   0.2432E-22   0.2060E-43
          71   0.7210E-23   0.3054E-44
          72   0.2123E-23   0.4495E-45
          73   0.6206E-24   0.6571E-46
          74   0.1802E-24   0.9541E-47
          75   0.5199E-25   0.1376E-47
          76   0.1490E-25   0.1972E-48
          77   0.4242E-26   0.2807E-49
          78   0.1200E-26   0.3971E-50
          79   0.3374E-27   0.5582E-51
          80   0.9426E-28   0.7797E-52
          81   0.2617E-28   0.1082E-52
          82   0.7223E-29   0.1494E-53
          83   0.1981E-29   0.2049E-54
          84   0.5403E-30   0.2793E-55
          85   0.1465E-30   0.3786E-56
          86   0.3947E-31   0.5102E-57
          87   0.1058E-31   0.6836E-58
          88   0.2818E-32   0.9107E-59
          89   0.7467E-33   0.1206E-59
          90   0.1968E-33   0.1589E-60
          91   0.5156E-34   0.2082E-61
          92   0.1344E-34   0.2714E-62
          93   0.3483E-35   0.3517E-63
          94   0.8982E-36   0.4535E-64
          95   0.2304E-36   0.5816E-65
          96   0.5879E-37   0.7420E-66
          97   0.1492E-37   0.9418E-67
          98   0.3769E-38   0.1189E-67
          99   0.9471E-39   0.1494E-68
         100   0.2368E-39   0.1868E-69
