     MC_step       U_adim      U_error       M_adim      M_error
           0   0.2200E+02   0.0000E+00  -0.1100E+00   0.0000E+00
           1  -0.5000E+02   0.4975E+00  -0.7000E-01   0.6965E-03
           2  -0.9000E+02   0.5124E+00  -0.1700E+00   0.9153E-03
           3  -0.7800E+02   0.4285E+00   0.7000E-01   0.6549E-03
           4  -0.6600E+02   0.3609E+00  -0.1000E-01   0.4919E-03
           5  -0.6200E+02   0.3140E+00  -0.1000E-01   0.3941E-03
           6  -0.7400E+02   0.2890E+00  -0.1300E+00   0.3931E-03
           7  -0.7800E+02   0.2714E+00  -0.1300E+00   0.3844E-03
           8  -0.9000E+02   0.2625E+00  -0.1900E+00   0.4113E-03
           9  -0.7000E+02   0.2459E+00  -0.1700E+00   0.4112E-03
          10  -0.8600E+02   0.2372E+00  -0.2500E+00   0.4462E-03
          11  -0.1060E+03   0.2360E+00  -0.1700E+00   0.4338E-03
          12  -0.9400E+02   0.2300E+00  -0.1900E+00   0.4278E-03
          13  -0.9800E+02   0.2252E+00  -0.1500E+00   0.4112E-03
          14  -0.7000E+02   0.2149E+00   0.1300E+00   0.3933E-03
          15  -0.7400E+02   0.2065E+00   0.1300E+00   0.3773E-03
          16  -0.1020E+03   0.2037E+00   0.1500E+00   0.3661E-03
          17  -0.1060E+03   0.2015E+00   0.5000E-01   0.3459E-03
          18  -0.1020E+03   0.1985E+00   0.1000E-01   0.3268E-03
          19  -0.1140E+03   0.1973E+00  -0.1000E-01   0.3096E-03
          20  -0.1060E+03   0.1947E+00  -0.3000E-01   0.2945E-03
          21  -0.1140E+03   0.1932E+00  -0.1500E+00   0.2894E-03
          22  -0.9000E+02   0.1888E+00  -0.2100E+00   0.2922E-03
          23  -0.1020E+03   0.1859E+00  -0.2700E+00   0.3030E-03
          24  -0.1020E+03   0.1831E+00  -0.2300E+00   0.3057E-03
          25  -0.8200E+02   0.1788E+00  -0.2100E+00   0.3052E-03
          26  -0.1140E+03   0.1774E+00  -0.3300E+00   0.3196E-03
          27  -0.1140E+03   0.1759E+00  -0.4900E+00   0.3571E-03
          28  -0.1060E+03   0.1738E+00  -0.3700E+00   0.3687E-03
          29  -0.1020E+03   0.1714E+00  -0.3500E+00   0.3758E-03
          30  -0.1180E+03   0.1702E+00  -0.2100E+00   0.3699E-03
          31  -0.9800E+02   0.1677E+00  -0.1900E+00   0.3631E-03
          32  -0.1020E+03   0.1655E+00  -0.1100E+00   0.3534E-03
          33  -0.1020E+03   0.1634E+00  -0.1000E-01   0.3428E-03
          34  -0.1020E+03   0.1614E+00   0.5000E-01   0.3330E-03
          35  -0.1060E+03   0.1597E+00   0.9000E-01   0.3246E-03
          36  -0.1180E+03   0.1586E+00   0.1500E+00   0.3184E-03
          37  -0.1060E+03   0.1570E+00   0.2900E+00   0.3196E-03
          38  -0.9400E+02   0.1548E+00   0.1700E+00   0.3144E-03
          39  -0.1020E+03   0.1531E+00   0.2100E+00   0.3111E-03
          40  -0.1100E+03   0.1517E+00   0.3100E+00   0.3131E-03
          41  -0.1100E+03   0.1504E+00   0.2900E+00   0.3136E-03
          42  -0.1060E+03   0.1490E+00   0.2700E+00   0.3129E-03
          43  -0.8200E+02   0.1467E+00   0.2500E+00   0.3111E-03
          44  -0.1100E+03   0.1455E+00   0.2100E+00   0.3078E-03
          45  -0.1020E+03   0.1441E+00   0.3700E+00   0.3120E-03
          46  -0.9800E+02   0.1425E+00   0.3100E+00   0.3126E-03
          47  -0.9400E+02   0.1409E+00   0.1700E+00   0.3081E-03
          48  -0.9000E+02   0.1392E+00   0.2300E+00   0.3054E-03
          49  -0.1060E+03   0.1381E+00   0.1500E+00   0.3008E-03
          50  -0.8200E+02   0.1363E+00   0.1900E+00   0.2972E-03
          51  -0.8600E+02   0.1347E+00   0.1900E+00   0.2937E-03
          52  -0.1060E+03   0.1336E+00   0.9000E-01   0.2886E-03
          53  -0.8200E+02   0.1320E+00   0.7000E-01   0.2835E-03
          54  -0.1060E+03   0.1310E+00  -0.5000E-01   0.2784E-03
          55  -0.1340E+03   0.1309E+00  -0.5000E-01   0.2735E-03
          56  -0.1100E+03   0.1301E+00  -0.5000E-01   0.2687E-03
          57  -0.1260E+03   0.1296E+00  -0.3000E-01   0.2641E-03
          58  -0.1220E+03   0.1291E+00  -0.7000E-01   0.2598E-03
          59  -0.9000E+02   0.1278E+00  -0.5000E-01   0.2555E-03
          60  -0.1020E+03   0.1268E+00   0.3000E-01   0.2513E-03
          61  -0.8600E+02   0.1255E+00   0.1500E+00   0.2484E-03
          62  -0.9400E+02   0.1244E+00   0.1100E+00   0.2451E-03
          63  -0.9800E+02   0.1234E+00   0.2900E+00   0.2455E-03
          64  -0.9800E+02   0.1225E+00   0.2100E+00   0.2439E-03
          65  -0.8600E+02   0.1213E+00   0.5000E-01   0.2403E-03
          66  -0.8600E+02   0.1202E+00  -0.3000E-01   0.2367E-03
          67  -0.1220E+03   0.1197E+00  -0.2700E+00   0.2366E-03
          68  -0.1100E+03   0.1191E+00  -0.1700E+00   0.2345E-03
          69  -0.1020E+03   0.1183E+00  -0.1500E+00   0.2321E-03
          70  -0.1180E+03   0.1178E+00  -0.1500E+00   0.2298E-03
          71  -0.1060E+03   0.1171E+00  -0.1700E+00   0.2278E-03
          72  -0.1100E+03   0.1164E+00  -0.7000E-01   0.2248E-03
          73  -0.1220E+03   0.1160E+00  -0.2300E+00   0.2240E-03
          74  -0.1180E+03   0.1156E+00  -0.3100E+00   0.2249E-03
          75  -0.1180E+03   0.1151E+00  -0.3100E+00   0.2257E-03
          76  -0.1140E+03   0.1146E+00  -0.3100E+00   0.2264E-03
          77  -0.9800E+02   0.1138E+00  -0.2700E+00   0.2262E-03
          78  -0.9000E+02   0.1129E+00  -0.3700E+00   0.2283E-03
          79  -0.1060E+03   0.1123E+00  -0.3900E+00   0.2307E-03
          80  -0.9400E+02   0.1115E+00  -0.3900E+00   0.2330E-03
          81  -0.9800E+02   0.1108E+00  -0.3900E+00   0.2351E-03
          82  -0.9800E+02   0.1101E+00  -0.3500E+00   0.2361E-03
          83  -0.1020E+03   0.1094E+00  -0.3700E+00   0.2375E-03
          84  -0.1300E+03   0.1092E+00  -0.4100E+00   0.2397E-03
          85  -0.1180E+03   0.1088E+00  -0.4300E+00   0.2422E-03
          86  -0.9400E+02   0.1081E+00  -0.3700E+00   0.2432E-03
          87  -0.1260E+03   0.1078E+00  -0.4500E+00   0.2459E-03
          88  -0.1060E+03   0.1073E+00  -0.4100E+00   0.2475E-03
          89  -0.8200E+02   0.1064E+00  -0.3700E+00   0.2482E-03
          90  -0.9800E+02   0.1058E+00  -0.3700E+00   0.2489E-03
          91  -0.1140E+03   0.1054E+00  -0.3100E+00   0.2485E-03
          92  -0.1020E+03   0.1048E+00  -0.1700E+00   0.2464E-03
          93  -0.1020E+03   0.1043E+00  -0.2700E+00   0.2455E-03
