     MC_step       U_adim       M_adim
           1  -0.1272E+04   0.7125E-01
           2  -0.1304E+04   0.1263E+00
           3  -0.1292E+04   0.9125E-01
           4  -0.1228E+04   0.6375E-01
           5  -0.1212E+04   0.1000E-01
           6  -0.1300E+04   0.3000E-01
           7  -0.1308E+04   0.4000E-01
           8  -0.1264E+04   0.3250E-01
           9  -0.1152E+04   0.6000E-01
          10  -0.1264E+04   0.7375E-01
          11  -0.1280E+04   0.5875E-01
          12  -0.1348E+04   0.7625E-01
          13  -0.1288E+04   0.3875E-01
          14  -0.1276E+04   0.1375E-01
          15  -0.1376E+04   0.5375E-01
          16  -0.1324E+04   0.8500E-01
          17  -0.1448E+04   0.9375E-01
          18  -0.1388E+04   0.9625E-01
          19  -0.1308E+04   0.6625E-01
          20  -0.1328E+04   0.4125E-01
          21  -0.1268E+04   0.9750E-01
          22  -0.1348E+04   0.1188E+00
          23  -0.1312E+04   0.1363E+00
          24  -0.1304E+04   0.1150E+00
          25  -0.1256E+04   0.1300E+00
          26  -0.1144E+04   0.1013E+00
          27  -0.1156E+04   0.3375E-01
          28  -0.1132E+04   0.4125E-01
          29  -0.1136E+04   0.2875E-01
          30  -0.1232E+04   0.4000E-01
          31  -0.1120E+04   0.3875E-01
          32  -0.1184E+04   0.3500E-01
          33  -0.1188E+04   0.5625E-01
          34  -0.1160E+04   0.8875E-01
          35  -0.1268E+04   0.9125E-01
          36  -0.1232E+04   0.8750E-02
          37  -0.1240E+04   0.1125E-01
          38  -0.1156E+04   0.4500E-01
          39  -0.1176E+04   0.4000E-01
          40  -0.1180E+04   0.6125E-01
          41  -0.1236E+04   0.6500E-01
          42  -0.1348E+04   0.6375E-01
          43  -0.1240E+04   0.4125E-01
          44  -0.1296E+04   0.4500E-01
          45  -0.1208E+04   0.2125E-01
          46  -0.1320E+04   0.2125E-01
          47  -0.1148E+04   0.1750E-01
          48  -0.1220E+04   0.3000E-01
          49  -0.1132E+04   0.5000E-02
          50  -0.1128E+04   0.5625E-01
          51  -0.1136E+04   0.1375E-01
          52  -0.1128E+04   0.2250E-01
          53  -0.1180E+04   0.5000E-02
          54  -0.1204E+04   0.1875E-01
          55  -0.1264E+04   0.2375E-01
          56  -0.1312E+04   0.3000E-01
          57  -0.1228E+04   0.1250E-02
          58  -0.1144E+04   0.1250E-01
          59  -0.1192E+04   0.4375E-01
          60  -0.1120E+04   0.7500E-01
          61  -0.1152E+04   0.6375E-01
          62  -0.1236E+04   0.4750E-01
          63  -0.1048E+04   0.2875E-01
          64  -0.1172E+04   0.6125E-01
          65  -0.1160E+04   0.5750E-01
          66  -0.1140E+04   0.5500E-01
          67  -0.1264E+04   0.7000E-01
          68  -0.1208E+04   0.6875E-01
          69  -0.1308E+04   0.6125E-01
          70  -0.1304E+04   0.2125E-01
          71  -0.1304E+04   0.2250E-01
          72  -0.1304E+04   0.6000E-01
          73  -0.1088E+04   0.6875E-01
          74  -0.1180E+04   0.1375E-01
          75  -0.1296E+04   0.1625E-01
          76  -0.1340E+04   0.4375E-01
          77  -0.1228E+04   0.6375E-01
          78  -0.1144E+04   0.1100E+00
          79  -0.1184E+04   0.8375E-01
          80  -0.1156E+04   0.9625E-01
          81  -0.1168E+04   0.7125E-01
          82  -0.1200E+04   0.7750E-01
          83  -0.1272E+04   0.9000E-01
          84  -0.1276E+04   0.1500E-01
          85  -0.1240E+04   0.3125E-01
          86  -0.1288E+04   0.7000E-01
          87  -0.1360E+04   0.5500E-01
          88  -0.1360E+04   0.2125E-01
          89  -0.1332E+04   0.3750E-01
          90  -0.1340E+04   0.2125E-01
          91  -0.1372E+04   0.5625E-01
          92  -0.1272E+04   0.6500E-01
          93  -0.1368E+04   0.7500E-01
          94  -0.1308E+04   0.3375E-01
          95  -0.1144E+04   0.8375E-01
          96  -0.1228E+04   0.5625E-01
          97  -0.1116E+04   0.8625E-01
          98  -0.1192E+04   0.1125E+00
          99  -0.1144E+04   0.1150E+00
         100  -0.1244E+04   0.9125E-01
         101  -0.1188E+04   0.4125E-01
         102  -0.1212E+04   0.1000E-01
         103  -0.1308E+04   0.8000E-01
         104  -0.1348E+04   0.9250E-01
         105  -0.1248E+04   0.9250E-01
         106  -0.1184E+04   0.6125E-01
         107  -0.1216E+04   0.8625E-01
         108  -0.1228E+04   0.9000E-01
         109  -0.1136E+04   0.1250E-02
         110  -0.1112E+04   0.5125E-01
         111  -0.1144E+04   0.6375E-01
         112  -0.1248E+04   0.6750E-01
         113  -0.1168E+04   0.9875E-01
         114  -0.1144E+04   0.4625E-01
         115  -0.1212E+04   0.2125E-01
         116  -0.1320E+04   0.1250E-02
         117  -0.1176E+04   0.3250E-01
         118  -0.1184E+04   0.5000E-01
         119  -0.1312E+04   0.7250E-01
         120  -0.1216E+04   0.8000E-01
         121  -0.1204E+04   0.1000E+00
         122  -0.1116E+04   0.9500E-01
         123  -0.1076E+04   0.5250E-01
         124  -0.1108E+04   0.5625E-01
         125  -0.1192E+04   0.2125E-01
         126  -0.1140E+04   0.2625E-01
         127  -0.1108E+04   0.3625E-01
         128  -0.1120E+04   0.3250E-01
         129  -0.1160E+04   0.1500E-01
         130  -0.1132E+04   0.2500E-01
         131  -0.1216E+04   0.6000E-01
         132  -0.1016E+04   0.5875E-01
         133  -0.1056E+04   0.8250E-01
         134  -0.1152E+04   0.6750E-01
         135  -0.1168E+04   0.9000E-01
         136  -0.1252E+04   0.1375E+00
         137  -0.1140E+04   0.8000E-01
         138  -0.1244E+04   0.8875E-01
         139  -0.1316E+04   0.7250E-01
         140  -0.1224E+04   0.1025E+00
         141  -0.1340E+04   0.1263E+00
         142  -0.1200E+04   0.1113E+00
         143  -0.1280E+04   0.6125E-01
         144  -0.1288E+04   0.2125E-01
