     MC_step       U_adim       M_adim
           0  -0.6400E+04   0.1000E+01
           1  -0.5080E+04   0.6375E+00
           2  -0.4720E+04   0.3800E+00
           3  -0.4504E+04   0.2425E+00
           4  -0.4480E+04   0.1900E+00
           5  -0.4544E+04   0.1225E+00
           6  -0.4488E+04   0.1087E+00
           7  -0.4428E+04   0.7000E-01
           8  -0.4384E+04   0.6375E-01
           9  -0.4420E+04   0.1738E+00
          10  -0.4352E+04   0.1487E+00
          11  -0.4468E+04   0.1713E+00
          12  -0.4356E+04   0.1800E+00
          13  -0.4456E+04   0.1013E+00
          14  -0.4408E+04   0.5250E-01
          15  -0.4416E+04   0.1925E+00
          16  -0.4404E+04   0.2000E+00
          17  -0.4388E+04   0.1850E+00
          18  -0.4472E+04   0.1613E+00
          19  -0.4456E+04   0.2100E+00
          20  -0.4388E+04   0.1562E+00
          21  -0.4340E+04   0.9875E-01
          22  -0.4376E+04   0.1300E+00
          23  -0.4328E+04   0.1013E+00
          24  -0.4340E+04   0.1275E+00
          25  -0.4340E+04   0.3375E-01
          26  -0.4388E+04   0.4000E-01
          27  -0.4444E+04   0.9625E-01
          28  -0.4392E+04   0.1175E+00
          29  -0.4308E+04   0.1525E+00
          30  -0.4292E+04   0.1163E+00
          31  -0.4364E+04   0.4500E-01
          32  -0.4348E+04   0.1625E-01
          33  -0.4372E+04   0.5000E-02
          34  -0.4328E+04   0.2125E-01
          35  -0.4208E+04   0.2250E-01
          36  -0.4220E+04   0.8000E-01
          37  -0.4184E+04   0.1650E+00
          38  -0.4356E+04   0.2025E+00
          39  -0.4504E+04   0.2450E+00
          40  -0.4404E+04   0.1675E+00
          41  -0.4316E+04   0.1175E+00
          42  -0.4296E+04   0.1212E+00
          43  -0.4292E+04   0.1363E+00
          44  -0.4328E+04   0.1175E+00
          45  -0.4372E+04   0.2087E+00
          46  -0.4444E+04   0.2363E+00
          47  -0.4292E+04   0.1963E+00
          48  -0.4260E+04   0.1175E+00
          49  -0.4296E+04   0.1413E+00
          50  -0.4316E+04   0.1850E+00
          51  -0.4380E+04   0.2013E+00
          52  -0.4324E+04   0.8750E-01
          53  -0.4368E+04   0.9875E-01
          54  -0.4336E+04   0.8875E-01
          55  -0.4308E+04   0.1087E+00
          56  -0.4356E+04   0.1888E+00
          57  -0.4380E+04   0.2363E+00
          58  -0.4352E+04   0.2462E+00
          59  -0.4404E+04   0.2475E+00
          60  -0.4348E+04   0.2025E+00
          61  -0.4428E+04   0.3013E+00
          62  -0.4428E+04   0.2188E+00
          63  -0.4520E+04   0.1475E+00
          64  -0.4448E+04   0.1325E+00
          65  -0.4460E+04   0.1212E+00
          66  -0.4404E+04   0.1025E+00
          67  -0.4412E+04   0.1500E+00
          68  -0.4472E+04   0.1462E+00
          69  -0.4416E+04   0.1125E+00
          70  -0.4464E+04   0.1087E+00
          71  -0.4312E+04   0.1375E+00
          72  -0.4248E+04   0.1450E+00
          73  -0.4264E+04   0.1475E+00
          74  -0.4240E+04   0.1363E+00
          75  -0.4300E+04   0.6375E-01
          76  -0.4308E+04   0.5875E-01
          77  -0.4296E+04   0.9125E-01
          78  -0.4180E+04   0.2875E-01
          79  -0.4260E+04   0.6750E-01
          80  -0.4204E+04   0.7625E-01
          81  -0.4152E+04   0.3750E-01
          82  -0.4284E+04   0.8875E-01
          83  -0.4292E+04   0.4125E-01
          84  -0.4328E+04   0.1250E+00
          85  -0.4332E+04   0.7000E-01
          86  -0.4448E+04   0.1500E+00
          87  -0.4308E+04   0.6625E-01
          88  -0.4388E+04   0.3750E-02
          89  -0.4388E+04   0.1537E+00
          90  -0.4508E+04   0.2775E+00
          91  -0.4548E+04   0.2063E+00
          92  -0.4432E+04   0.2350E+00
          93  -0.4292E+04   0.4750E-01
          94  -0.4348E+04   0.9250E-01
          95  -0.4360E+04   0.4250E-01
          96  -0.4364E+04   0.1038E+00
          97  -0.4216E+04   0.5375E-01
          98  -0.4312E+04   0.1475E+00
          99  -0.4372E+04   0.5125E-01
         100  -0.4404E+04   0.5000E-01
         101  -0.4300E+04   0.2625E-01
         102  -0.4476E+04   0.3125E-01
         103  -0.4492E+04   0.1000E+00
         104  -0.4308E+04   0.1738E+00
         105  -0.4272E+04   0.1013E+00
         106  -0.4356E+04   0.1350E+00
         107  -0.4388E+04   0.1700E+00
         108  -0.4340E+04   0.6500E-01
         109  -0.4360E+04   0.8000E-01
         110  -0.4276E+04   0.2000E-01
         111  -0.4408E+04   0.5125E-01
         112  -0.4428E+04   0.1375E-01
         113  -0.4292E+04   0.1250E-02
         114  -0.4300E+04   0.1075E+00
         115  -0.4216E+04   0.6500E-01
         116  -0.4284E+04   0.6500E-01
         117  -0.4332E+04   0.3125E-01
         118  -0.4340E+04   0.6625E-01
         119  -0.4280E+04   0.4250E-01
         120  -0.4316E+04   0.1025E+00
         121  -0.4264E+04   0.1062E+00
         122  -0.4252E+04   0.1013E+00
         123  -0.4276E+04   0.9875E-01
         124  -0.4284E+04   0.1462E+00
         125  -0.4444E+04   0.2075E+00
         126  -0.4448E+04   0.2087E+00
         127  -0.4348E+04   0.1888E+00
         128  -0.4380E+04   0.7375E-01
         129  -0.4256E+04   0.6875E-01
         130  -0.4324E+04   0.1500E+00
         131  -0.4324E+04   0.1050E+00
         132  -0.4392E+04   0.1425E+00
         133  -0.4276E+04   0.6750E-01
         134  -0.4336E+04   0.1225E+00
