        T/Tc        U_med      U_error        M_med      M_error       Mexact           cv         susc       Binder
  0.0000E+00  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.0000E+00   0.0000E+00   0.6667E+00
  0.1020E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.5600E+11   0.2081E-30   0.6667E+00
  0.2041E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.2800E+11   0.1040E-30   0.6667E+00
  0.3061E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.1867E+11   0.6936E-31   0.6667E+00
  0.4082E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.1400E+11   0.5202E-31   0.6667E+00
  0.5102E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.1120E+11   0.4162E-31   0.6667E+00
  0.6122E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.9333E+10   0.3468E-31   0.6667E+00
  0.7143E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.7999E+10   0.2973E-31   0.6667E+00
  0.8163E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.6999E+10   0.2601E-31   0.6667E+00
  0.9184E-01  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.6222E+10   0.2312E-31   0.6667E+00
  0.1020E+00  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.5600E+10   0.2081E-31   0.6667E+00
  0.1122E+00  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.5090E+10   0.1892E-31   0.6667E+00
  0.1224E+00  -0.7201E+03   0.1608E-13   0.1000E+00   0.9813E-17   0.1000E+01   0.4666E+10   0.1734E-31   0.6667E+00
  0.1327E+00  -0.7201E+03   0.1018E-03   0.1000E+00   0.1273E-06   0.1000E+01   0.4307E+10   0.2693E-11   0.6667E+00
  0.1429E+00  -0.7201E+03   0.1823E-03   0.1000E+00   0.2279E-06   0.1000E+01   0.4000E+10   0.8016E-11   0.6667E+00
  0.1531E+00  -0.7201E+03   0.7871E-02   0.1575E+00   0.6942E-02   0.1000E+01   0.3733E+10   0.6943E-02   0.5674E+00
  0.1633E+00  -0.7201E+03   0.9362E-02   0.2736E+00   0.6166E-02   0.1000E+01   0.3499E+10   0.5134E-02   0.6392E+00
  0.1735E+00  -0.7337E+03   0.4179E+01   0.6259E+00   0.2886E-01   0.1000E+01   0.3425E+10   0.1059E+00   0.5217E+00
  0.1837E+00  -0.8001E+03   0.1286E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.3841E+10   0.1065E-29   0.6667E+00
  0.1939E+00  -0.8001E+03   0.1286E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.3638E+10   0.1009E-29   0.6667E+00
  0.2041E+00  -0.8001E+03   0.1286E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.3456E+10   0.9589E-30   0.6667E+00
  0.2143E+00  -0.8001E+03   0.1286E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.3292E+10   0.9132E-30   0.6667E+00
  0.2245E+00  -0.8001E+03   0.1267E-02   0.1000E+01   0.7920E-06   0.1000E+01   0.3142E+10   0.6160E-10   0.6667E+00
  0.2347E+00  -0.8001E+03   0.1652E-02   0.1000E+01   0.1032E-05   0.1000E+01   0.3006E+10   0.1001E-09   0.6667E+00
  0.2449E+00  -0.8001E+03   0.5156E-03   0.1000E+01   0.3222E-06   0.1000E+01   0.2880E+10   0.9349E-11   0.6667E+00
  0.2551E+00  -0.8001E+03   0.5299E-03   0.1000E+01   0.3312E-06   0.1000E+01   0.2765E+10   0.9479E-11   0.6667E+00
  0.2653E+00  -0.8001E+03   0.1058E-02   0.1000E+01   0.6613E-06   0.1000E+01   0.2659E+10   0.3634E-10   0.6667E+00
  0.2755E+00  -0.8001E+03   0.5936E-03   0.1000E+01   0.3710E-06   0.1000E+01   0.2560E+10   0.1102E-10   0.6667E+00
  0.2857E+00  -0.8001E+03   0.1304E-02   0.1000E+01   0.8151E-06   0.1000E+01   0.2469E+10   0.5127E-10   0.6667E+00
  0.2959E+00  -0.8001E+03   0.3377E-02   0.1000E+01   0.2110E-05   0.1000E+01   0.2384E+10   0.3319E-09   0.6667E+00
  0.3061E+00  -0.8001E+03   0.2787E-02   0.1000E+01   0.1742E-05   0.1000E+01   0.2304E+10   0.2186E-09   0.6667E+00
