    tau_corr   autocorr_U   autocorr_M
           1   0.7874E+00   0.8607E+00
           2   0.7647E+00   0.8195E+00
           3   0.7222E+00   0.7810E+00
           4   0.7325E+00   0.7690E+00
           5   0.6766E+00   0.7290E+00
           6   0.6916E+00   0.7193E+00
           7   0.6401E+00   0.6874E+00
           8   0.6653E+00   0.6878E+00
           9   0.6210E+00   0.6573E+00
          10   0.6200E+00   0.6448E+00
          11   0.5815E+00   0.6215E+00
          12   0.6181E+00   0.6289E+00
          13   0.5531E+00   0.5913E+00
          14   0.5584E+00   0.5828E+00
          15   0.5416E+00   0.5700E+00
          16   0.5494E+00   0.5662E+00
          17   0.5016E+00   0.5371E+00
          18   0.5155E+00   0.5333E+00
          19   0.4771E+00   0.5120E+00
          20   0.4992E+00   0.5154E+00
          21   0.4612E+00   0.4913E+00
          22   0.4516E+00   0.4777E+00
          23   0.4280E+00   0.4637E+00
          24   0.4541E+00   0.4694E+00
          25   0.4095E+00   0.4433E+00
          26   0.4032E+00   0.4317E+00
          27   0.3881E+00   0.4216E+00
          28   0.3947E+00   0.4190E+00
          29   0.3604E+00   0.3978E+00
          30   0.3661E+00   0.3920E+00
          31   0.3392E+00   0.3771E+00
          32   0.3480E+00   0.3757E+00
          33   0.3217E+00   0.3583E+00
          34   0.3126E+00   0.3465E+00
          35   0.3008E+00   0.3388E+00
          36   0.3096E+00   0.3377E+00
          37   0.2792E+00   0.3189E+00
          38   0.2720E+00   0.3080E+00
          39   0.2622E+00   0.3016E+00
          40   0.2664E+00   0.2991E+00
          41   0.2426E+00   0.2837E+00
          42   0.2378E+00   0.2746E+00
          43   0.2255E+00   0.2674E+00
          44   0.2294E+00   0.2652E+00
          45   0.2118E+00   0.2532E+00
          46   0.2034E+00   0.2428E+00
          47   0.1955E+00   0.2380E+00
          48   0.1996E+00   0.2363E+00
          49   0.1825E+00   0.2248E+00
          50   0.1754E+00   0.2156E+00
          51   0.1703E+00   0.2125E+00
          52   0.1732E+00   0.2107E+00
          53   0.1589E+00   0.2009E+00
          54   0.1532E+00   0.1927E+00
          55   0.1496E+00   0.1907E+00
          56   0.1539E+00   0.1902E+00
          57   0.1415E+00   0.1819E+00
          58   0.1362E+00   0.1744E+00
          59   0.1342E+00   0.1735E+00
          60   0.1390E+00   0.1734E+00
          61   0.1271E+00   0.1656E+00
          62   0.1225E+00   0.1587E+00
          63   0.1213E+00   0.1584E+00
          64   0.1263E+00   0.1586E+00
          65   0.1153E+00   0.1511E+00
          66   0.1110E+00   0.1446E+00
          67   0.1096E+00   0.1445E+00
          68   0.1150E+00   0.1451E+00
          69   0.1046E+00   0.1383E+00
          70   0.1002E+00   0.1319E+00
          71   0.9933E-01   0.1321E+00
          72   0.1049E+00   0.1331E+00
          73   0.9438E-01   0.1263E+00
          74   0.9031E-01   0.1203E+00
          75   0.8991E-01   0.1210E+00
          76   0.9557E-01   0.1223E+00
          77   0.8551E-01   0.1159E+00
          78   0.8166E-01   0.1101E+00
          79   0.8129E-01   0.1110E+00
          80   0.8709E-01   0.1124E+00
          81   0.7733E-01   0.1063E+00
          82   0.7348E-01   0.1008E+00
          83   0.7360E-01   0.1020E+00
          84   0.7956E-01   0.1036E+00
          85   0.6991E-01   0.9776E-01
          86   0.6635E-01   0.9231E-01
          87   0.6647E-01   0.9361E-01
          88   0.7239E-01   0.9528E-01
          89   0.6306E-01   0.8962E-01
          90   0.5914E-01   0.8424E-01
          91   0.5929E-01   0.8560E-01
          92   0.6529E-01   0.8735E-01
          93   0.5612E-01   0.8175E-01
          94   0.5260E-01   0.7653E-01
          95   0.5321E-01   0.7818E-01
          96   0.5904E-01   0.7986E-01
          97   0.4994E-01   0.7426E-01
          98   0.4644E-01   0.6901E-01
          99   0.4704E-01   0.7093E-01
         100   0.5338E-01   0.7301E-01
         101   0.4467E-01   0.6787E-01
         102   0.4106E-01   0.6294E-01
         103   0.4199E-01   0.6480E-01
         104   0.4869E-01   0.6717E-01
         105   0.4002E-01   0.6221E-01
         106   0.3680E-01   0.5740E-01
         107   0.3797E-01   0.5950E-01
         108   0.4443E-01   0.6175E-01
         109   0.3622E-01   0.5707E-01
         110   0.3310E-01   0.5229E-01
         111   0.3419E-01   0.5455E-01
         112   0.4079E-01   0.5690E-01
         113   0.3253E-01   0.5209E-01
         114   0.2919E-01   0.4736E-01
         115   0.3048E-01   0.4970E-01
         116   0.3726E-01   0.5223E-01
         117   0.2884E-01   0.4753E-01
         118   0.2601E-01   0.4304E-01
         119   0.2760E-01   0.4576E-01
         120   0.3439E-01   0.4847E-01
         121   0.2645E-01   0.4401E-01
         122   0.2387E-01   0.3993E-01
         123   0.2532E-01   0.4243E-01
         124   0.3235E-01   0.4521E-01
         125   0.2447E-01   0.4082E-01
         126   0.2167E-01   0.3652E-01
         127   0.2361E-01   0.3931E-01
         128   0.3071E-01   0.4227E-01
         129   0.2264E-01   0.3779E-01
         130   0.2001E-01   0.3351E-01
         131   0.2190E-01   0.3632E-01
         132   0.2871E-01   0.3900E-01
         133   0.2091E-01   0.3467E-01
         134   0.1808E-01   0.3049E-01
         135   0.1953E-01   0.3315E-01
         136   0.2663E-01   0.3598E-01
         137   0.1883E-01   0.3162E-01
         138   0.1601E-01   0.2747E-01
         139   0.1799E-01   0.3026E-01
         140   0.2497E-01   0.3347E-01
         141   0.1714E-01   0.2925E-01
         142   0.1457E-01   0.2539E-01
         143   0.1655E-01   0.2824E-01
         144   0.2350E-01   0.3128E-01
         145   0.1553E-01   0.2713E-01
         146   0.1311E-01   0.2323E-01
         147   0.1470E-01   0.2598E-01
         148   0.2212E-01   0.2926E-01
         149   0.1419E-01   0.2509E-01
         150   0.1175E-01   0.2128E-01
         151   0.1380E-01   0.2417E-01
         152   0.2090E-01   0.2735E-01
         153   0.1312E-01   0.2312E-01
         154   0.1046E-01   0.1905E-01
         155   0.1228E-01   0.2200E-01
         156   0.1965E-01   0.2519E-01
         157   0.1190E-01   0.2114E-01
         158   0.9569E-02   0.1732E-01
         159   0.1134E-01   0.2018E-01
         160   0.1866E-01   0.2354E-01
         161   0.1097E-01   0.1949E-01
         162   0.8551E-02   0.1591E-01
         163   0.1077E-01   0.1891E-01
         164   0.1788E-01   0.2211E-01
         165   0.1006E-01   0.1801E-01
         166   0.7544E-02   0.1408E-01
         167   0.9650E-02   0.1737E-01
         168   0.1712E-01   0.2067E-01
         169   0.9287E-02   0.1666E-01
         170   0.6575E-02   0.1272E-01
         171   0.8559E-02   0.1598E-01
         172   0.1584E-01   0.1939E-01
         173   0.8118E-02   0.1538E-01
         174   0.5611E-02   0.1152E-01
         175   0.7558E-02   0.1464E-01
         176   0.1493E-01   0.1801E-01
         177   0.7154E-02   0.1398E-01
         178   0.4790E-02   0.1021E-01
         179   0.6707E-02   0.1335E-01
         180   0.1398E-01   0.1679E-01
         181   0.6398E-02   0.1291E-01
         182   0.4073E-02   0.9316E-02
         183   0.6232E-02   0.1255E-01
         184   0.1373E-01   0.1604E-01
         185   0.6213E-02   0.1223E-01
         186   0.3866E-02   0.8458E-02
         187   0.5972E-02   0.1172E-01
         188   0.1315E-01   0.1496E-01
         189   0.5895E-02   0.1130E-01
         190   0.3941E-02   0.7825E-02
         191   0.6109E-02   0.1103E-01
         192   0.1363E-01   0.1450E-01
         193   0.6182E-02   0.1078E-01
         194   0.3906E-02   0.7103E-02
         195   0.6129E-02   0.1048E-01
         196   0.1385E-01   0.1427E-01
         197   0.6509E-02   0.1078E-01
         198   0.4411E-02   0.7256E-02
         199   0.6699E-02   0.1067E-01
         200   0.1423E-01   0.1427E-01
         201   0.6933E-02   0.1060E-01
         202   0.4766E-02   0.7035E-02
         203   0.6894E-02   0.1027E-01
         204   0.1400E-01   0.1362E-01
         205   0.6627E-02   0.9713E-02
         206   0.4227E-02   0.6035E-02
         207   0.6653E-02   0.9574E-02
         208   0.1412E-01   0.1315E-01
         209   0.6873E-02   0.9579E-02
         210   0.4586E-02   0.5996E-02
         211   0.6911E-02   0.9320E-02
         212   0.1431E-01   0.1288E-01
         213   0.6922E-02   0.9260E-02
         214   0.4612E-02   0.5662E-02
         215   0.7144E-02   0.9146E-02
         216   0.1442E-01   0.1241E-01
         217   0.6555E-02   0.8390E-02
         218   0.4127E-02   0.4610E-02
         219   0.5971E-02   0.7588E-02
         220   0.1333E-01   0.1103E-01
         221   0.5485E-02   0.6938E-02
         222   0.2744E-02   0.3107E-02
         223   0.4870E-02   0.6327E-02
         224   0.1203E-01   0.9728E-02
         225   0.4314E-02   0.5825E-02
         226   0.1742E-02   0.2077E-02
         227   0.3945E-02   0.5404E-02
         228   0.1103E-01   0.8687E-02
         229   0.3465E-02   0.4778E-02
         230   0.9505E-03   0.9851E-03
         231   0.2821E-02   0.4105E-02
         232   0.1010E-01   0.7463E-02
         233   0.2513E-02   0.3619E-02
         234  -0.7847E-04  -0.1574E-03
         235   0.2190E-02   0.3177E-02
         236   0.9458E-02   0.6491E-02
         237   0.1678E-02   0.2563E-02
         238  -0.7975E-03  -0.1211E-02
         239   0.1477E-02   0.2067E-02
         240   0.8840E-02   0.5564E-02
         241   0.1543E-02   0.1661E-02
         242  -0.1144E-02  -0.2115E-02
         243   0.1120E-02   0.1391E-02
         244   0.8654E-02   0.4863E-02
         245   0.1459E-02   0.1451E-02
         246  -0.8048E-03  -0.2043E-02
         247   0.1457E-02   0.1289E-02
         248   0.8660E-02   0.4720E-02
         249   0.1269E-02   0.9959E-03
         250  -0.1026E-02  -0.2663E-02
         251   0.1319E-02   0.8113E-03
         252   0.8605E-02   0.4292E-02
         253   0.1116E-02   0.5432E-03
         254  -0.8592E-03  -0.2860E-02
         255   0.1467E-02   0.6457E-03
         256   0.8836E-02   0.4230E-02
         257   0.1654E-02   0.8957E-03
         258  -0.6985E-03  -0.2606E-02
         259   0.1781E-02   0.8913E-03
         260   0.9287E-02   0.4584E-02
         261   0.1755E-02   0.8540E-03
         262  -0.2119E-03  -0.2485E-02
         263   0.1813E-02   0.8391E-03
         264   0.9542E-02   0.4696E-02
         265   0.2017E-02   0.1064E-02
         266  -0.2705E-03  -0.2513E-02
         267   0.1669E-02   0.8022E-03
         268   0.9238E-02   0.4480E-02
         269   0.1661E-02   0.7104E-03
         270  -0.7920E-03  -0.2961E-02
         271   0.1117E-02   0.1689E-03
         272   0.8745E-02   0.3796E-02
         273   0.1137E-02   0.1152E-03
         274  -0.9432E-03  -0.3347E-02
         275   0.8097E-03  -0.2560E-03
         276   0.8275E-02   0.3495E-02
         277   0.7229E-03  -0.1001E-03
         278  -0.1650E-02  -0.3784E-02
         279   0.1113E-03  -0.7369E-03
         280   0.7606E-02   0.2837E-02
         281  -0.2317E-03  -0.1140E-02
         282  -0.2534E-02  -0.4694E-02
         283  -0.7356E-03  -0.1550E-02
         284   0.6637E-02   0.1883E-02
         285  -0.8378E-03  -0.1735E-02
         286  -0.3157E-02  -0.5189E-02
         287  -0.9556E-03  -0.1834E-02
         288   0.6355E-02   0.1799E-02
         289  -0.1222E-02  -0.1867E-02
         290  -0.3410E-02  -0.5280E-02
         291  -0.1215E-02  -0.1870E-02
         292   0.5902E-02   0.1649E-02
         293  -0.1425E-02  -0.1898E-02
         294  -0.3713E-02  -0.5293E-02
         295  -0.1669E-02  -0.1924E-02
         296   0.6199E-02   0.2069E-02
         297  -0.9946E-03  -0.1470E-02
         298  -0.3328E-02  -0.4944E-02
         299  -0.1040E-02  -0.1570E-02
         300   0.6400E-02   0.2131E-02
         301  -0.9693E-03  -0.1325E-02
         302  -0.3186E-02  -0.4705E-02
         303  -0.9942E-03  -0.1278E-02
         304   0.6289E-02   0.2348E-02
         305  -0.9006E-03  -0.1175E-02
         306  -0.3116E-02  -0.4507E-02
         307  -0.1017E-02  -0.1180E-02
         308   0.6352E-02   0.2347E-02
         309  -0.1250E-02  -0.1457E-02
         310  -0.3831E-02  -0.5045E-02
         311  -0.1667E-02  -0.1558E-02
         312   0.5694E-02   0.1957E-02
         313  -0.1626E-02  -0.1692E-02
         314  -0.4006E-02  -0.5306E-02
         315  -0.1850E-02  -0.1714E-02
         316   0.5162E-02   0.1799E-02
         317  -0.2199E-02  -0.1785E-02
         318  -0.4752E-02  -0.5471E-02
         319  -0.2650E-02  -0.2127E-02
         320   0.4697E-02   0.1371E-02
         321  -0.2762E-02  -0.2227E-02
         322  -0.5122E-02  -0.5770E-02
         323  -0.2952E-02  -0.2400E-02
         324   0.4451E-02   0.1213E-02
         325  -0.3305E-02  -0.2589E-02
         326  -0.5627E-02  -0.5967E-02
         327  -0.3330E-02  -0.2427E-02
         328   0.3855E-02   0.1057E-02
         329  -0.3607E-02  -0.2637E-02
         330  -0.5962E-02  -0.6055E-02
         331  -0.3808E-02  -0.2527E-02
         332   0.3598E-02   0.1202E-02
         333  -0.3587E-02  -0.2203E-02
         334  -0.6009E-02  -0.5609E-02
         335  -0.3869E-02  -0.2138E-02
         336   0.3933E-02   0.1827E-02
         337  -0.3656E-02  -0.1728E-02
         338  -0.5824E-02  -0.5014E-02
         339  -0.3645E-02  -0.1449E-02
         340   0.4020E-02   0.2430E-02
         341  -0.3360E-02  -0.1172E-02
         342  -0.5410E-02  -0.4401E-02
         343  -0.3442E-02  -0.1022E-02
         344   0.4123E-02   0.2631E-02
         345  -0.3157E-02  -0.9176E-03
         346  -0.5173E-02  -0.4169E-02
         347  -0.3068E-02  -0.6423E-03
         348   0.4828E-02   0.3199E-02
         349  -0.2948E-02  -0.5546E-03
         350  -0.5137E-02  -0.3901E-02
         351  -0.3033E-02  -0.4566E-03
         352   0.4191E-02   0.2872E-02
         353  -0.3722E-02  -0.9404E-03
         354  -0.5797E-02  -0.4445E-02
         355  -0.4310E-02  -0.1351E-02
         356   0.3313E-02   0.2059E-02
         357  -0.4235E-02  -0.1619E-02
         358  -0.6204E-02  -0.4994E-02
         359  -0.4658E-02  -0.1962E-02
         360   0.3121E-02   0.1763E-02
         361  -0.4517E-02  -0.1873E-02
         362  -0.6477E-02  -0.5279E-02
         363  -0.4150E-02  -0.1808E-02
         364   0.3657E-02   0.1873E-02
         365  -0.4094E-02  -0.1825E-02
         366  -0.5985E-02  -0.5287E-02
         367  -0.4313E-02  -0.2115E-02
         368   0.3391E-02   0.1596E-02
         369  -0.4207E-02  -0.2086E-02
         370  -0.6121E-02  -0.5436E-02
         371  -0.4190E-02  -0.2091E-02
         372   0.3768E-02   0.1636E-02
         373  -0.3654E-02  -0.1871E-02
         374  -0.5343E-02  -0.5075E-02
         375  -0.3101E-02  -0.1776E-02
         376   0.4667E-02   0.1929E-02
         377  -0.3003E-02  -0.1848E-02
         378  -0.4928E-02  -0.5266E-02
         379  -0.2927E-02  -0.1836E-02
         380   0.4790E-02   0.1840E-02
         381  -0.2789E-02  -0.1769E-02
         382  -0.4635E-02  -0.5146E-02
         383  -0.2882E-02  -0.2116E-02
         384   0.4559E-02   0.1346E-02
         385  -0.3265E-02  -0.2448E-02
         386  -0.5002E-02  -0.5608E-02
         387  -0.3057E-02  -0.2350E-02
         388   0.4602E-02   0.1376E-02
         389  -0.2995E-02  -0.2390E-02
         390  -0.4660E-02  -0.5595E-02
         391  -0.2809E-02  -0.2439E-02
         392   0.4781E-02   0.1319E-02
         393  -0.2991E-02  -0.2490E-02
         394  -0.4981E-02  -0.5904E-02
         395  -0.3080E-02  -0.2731E-02
         396   0.4488E-02   0.9393E-03
         397  -0.3331E-02  -0.3003E-02
         398  -0.5434E-02  -0.6546E-02
         399  -0.3429E-02  -0.3318E-02
         400   0.4325E-02   0.4883E-03
         401  -0.3172E-02  -0.3131E-02
         402  -0.5302E-02  -0.6545E-02
         403  -0.3495E-02  -0.3421E-02
         404   0.3953E-02   0.1233E-03
         405  -0.3193E-02  -0.3329E-02
         406  -0.5379E-02  -0.6900E-02
         407  -0.3016E-02  -0.3468E-02
         408   0.4491E-02   0.9897E-04
         409  -0.3219E-02  -0.3823E-02
         410  -0.5245E-02  -0.7284E-02
         411  -0.3192E-02  -0.4023E-02
         412   0.4265E-02  -0.4514E-03
         413  -0.3002E-02  -0.3982E-02
         414  -0.5198E-02  -0.7467E-02
         415  -0.3372E-02  -0.4272E-02
         416   0.4281E-02  -0.6910E-03
         417  -0.3452E-02  -0.4512E-02
         418  -0.5354E-02  -0.7836E-02
         419  -0.3126E-02  -0.4368E-02
         420   0.4213E-02  -0.7631E-03
         421  -0.3284E-02  -0.4320E-02
         422  -0.5195E-02  -0.7661E-02
         423  -0.3229E-02  -0.4320E-02
         424   0.4272E-02  -0.7859E-03
         425  -0.3251E-02  -0.4328E-02
         426  -0.5262E-02  -0.7723E-02
         427  -0.2979E-02  -0.4153E-02
         428   0.4576E-02  -0.4275E-03
         429  -0.2697E-02  -0.3813E-02
         430  -0.5036E-02  -0.7323E-02
         431  -0.2891E-02  -0.3927E-02
