       rx_sc        ry_sc        rz_sc
  0.0000E+00   0.0000E+00   0.0000E+00
  0.0000E+00   0.0000E+00   0.1250E+01
  0.0000E+00   0.0000E+00   0.2500E+01
  0.0000E+00   0.0000E+00   0.3750E+01
  0.0000E+00   0.0000E+00   0.5000E+01
  0.0000E+00   0.1250E+01   0.0000E+00
  0.0000E+00   0.1250E+01   0.1250E+01
  0.0000E+00   0.1250E+01   0.2500E+01
  0.0000E+00   0.1250E+01   0.3750E+01
  0.0000E+00   0.1250E+01   0.5000E+01
  0.0000E+00   0.2500E+01   0.0000E+00
  0.0000E+00   0.2500E+01   0.1250E+01
  0.0000E+00   0.2500E+01   0.2500E+01
  0.0000E+00   0.2500E+01   0.3750E+01
  0.0000E+00   0.2500E+01   0.5000E+01
  0.0000E+00   0.3750E+01   0.0000E+00
  0.0000E+00   0.3750E+01   0.1250E+01
  0.0000E+00   0.3750E+01   0.2500E+01
  0.0000E+00   0.3750E+01   0.3750E+01
  0.0000E+00   0.3750E+01   0.5000E+01
  0.0000E+00   0.5000E+01   0.0000E+00
  0.0000E+00   0.5000E+01   0.1250E+01
  0.0000E+00   0.5000E+01   0.2500E+01
  0.0000E+00   0.5000E+01   0.3750E+01
  0.0000E+00   0.5000E+01   0.5000E+01
  0.1250E+01   0.0000E+00   0.0000E+00
  0.1250E+01   0.0000E+00   0.1250E+01
  0.1250E+01   0.0000E+00   0.2500E+01
  0.1250E+01   0.0000E+00   0.3750E+01
  0.1250E+01   0.0000E+00   0.5000E+01
  0.1250E+01   0.1250E+01   0.0000E+00
  0.1250E+01   0.1250E+01   0.1250E+01
  0.1250E+01   0.1250E+01   0.2500E+01
  0.1250E+01   0.1250E+01   0.3750E+01
  0.1250E+01   0.1250E+01   0.5000E+01
  0.1250E+01   0.2500E+01   0.0000E+00
  0.1250E+01   0.2500E+01   0.1250E+01
  0.1250E+01   0.2500E+01   0.2500E+01
  0.1250E+01   0.2500E+01   0.3750E+01
  0.1250E+01   0.2500E+01   0.5000E+01
  0.1250E+01   0.3750E+01   0.0000E+00
  0.1250E+01   0.3750E+01   0.1250E+01
  0.1250E+01   0.3750E+01   0.2500E+01
  0.1250E+01   0.3750E+01   0.3750E+01
  0.1250E+01   0.3750E+01   0.5000E+01
  0.1250E+01   0.5000E+01   0.0000E+00
  0.1250E+01   0.5000E+01   0.1250E+01
  0.1250E+01   0.5000E+01   0.2500E+01
  0.1250E+01   0.5000E+01   0.3750E+01
  0.1250E+01   0.5000E+01   0.5000E+01
  0.2500E+01   0.0000E+00   0.0000E+00
  0.2500E+01   0.0000E+00   0.1250E+01
  0.2500E+01   0.0000E+00   0.2500E+01
  0.2500E+01   0.0000E+00   0.3750E+01
  0.2500E+01   0.0000E+00   0.5000E+01
  0.2500E+01   0.1250E+01   0.0000E+00
  0.2500E+01   0.1250E+01   0.1250E+01
  0.2500E+01   0.1250E+01   0.2500E+01
  0.2500E+01   0.1250E+01   0.3750E+01
  0.2500E+01   0.1250E+01   0.5000E+01
  0.2500E+01   0.2500E+01   0.0000E+00
  0.2500E+01   0.2500E+01   0.1250E+01
  0.2500E+01   0.2500E+01   0.2500E+01
  0.2500E+01   0.2500E+01   0.3750E+01
  0.2500E+01   0.2500E+01   0.5000E+01
  0.2500E+01   0.3750E+01   0.0000E+00
  0.2500E+01   0.3750E+01   0.1250E+01
  0.2500E+01   0.3750E+01   0.2500E+01
  0.2500E+01   0.3750E+01   0.3750E+01
  0.2500E+01   0.3750E+01   0.5000E+01
  0.2500E+01   0.5000E+01   0.0000E+00
  0.2500E+01   0.5000E+01   0.1250E+01
  0.2500E+01   0.5000E+01   0.2500E+01
  0.2500E+01   0.5000E+01   0.3750E+01
  0.2500E+01   0.5000E+01   0.5000E+01
  0.3750E+01   0.0000E+00   0.0000E+00
  0.3750E+01   0.0000E+00   0.1250E+01
  0.3750E+01   0.0000E+00   0.2500E+01
  0.3750E+01   0.0000E+00   0.3750E+01
  0.3750E+01   0.0000E+00   0.5000E+01
  0.3750E+01   0.1250E+01   0.0000E+00
  0.3750E+01   0.1250E+01   0.1250E+01
  0.3750E+01   0.1250E+01   0.2500E+01
  0.3750E+01   0.1250E+01   0.3750E+01
  0.3750E+01   0.1250E+01   0.5000E+01
  0.3750E+01   0.2500E+01   0.0000E+00
  0.3750E+01   0.2500E+01   0.1250E+01
  0.3750E+01   0.2500E+01   0.2500E+01
  0.3750E+01   0.2500E+01   0.3750E+01
  0.3750E+01   0.2500E+01   0.5000E+01
  0.3750E+01   0.3750E+01   0.0000E+00
  0.3750E+01   0.3750E+01   0.1250E+01
  0.3750E+01   0.3750E+01   0.2500E+01
  0.3750E+01   0.3750E+01   0.3750E+01
  0.3750E+01   0.3750E+01   0.5000E+01
  0.3750E+01   0.5000E+01   0.0000E+00
  0.3750E+01   0.5000E+01   0.1250E+01
  0.3750E+01   0.5000E+01   0.2500E+01
  0.3750E+01   0.5000E+01   0.3750E+01
  0.3750E+01   0.5000E+01   0.5000E+01
  0.5000E+01   0.0000E+00   0.0000E+00
  0.5000E+01   0.0000E+00   0.1250E+01
  0.5000E+01   0.0000E+00   0.2500E+01
  0.5000E+01   0.0000E+00   0.3750E+01
  0.5000E+01   0.0000E+00   0.5000E+01
  0.5000E+01   0.1250E+01   0.0000E+00
  0.5000E+01   0.1250E+01   0.1250E+01
  0.5000E+01   0.1250E+01   0.2500E+01
  0.5000E+01   0.1250E+01   0.3750E+01
  0.5000E+01   0.1250E+01   0.5000E+01
  0.5000E+01   0.2500E+01   0.0000E+00
  0.5000E+01   0.2500E+01   0.1250E+01
  0.5000E+01   0.2500E+01   0.2500E+01
  0.5000E+01   0.2500E+01   0.3750E+01
  0.5000E+01   0.2500E+01   0.5000E+01
  0.5000E+01   0.3750E+01   0.0000E+00
  0.5000E+01   0.3750E+01   0.1250E+01
  0.5000E+01   0.3750E+01   0.2500E+01
  0.5000E+01   0.3750E+01   0.3750E+01
  0.5000E+01   0.3750E+01   0.5000E+01
  0.5000E+01   0.5000E+01   0.0000E+00
  0.5000E+01   0.5000E+01   0.1250E+01
  0.5000E+01   0.5000E+01   0.2500E+01
  0.5000E+01   0.5000E+01   0.3750E+01
  0.5000E+01   0.5000E+01   0.5000E+01
