      rx_fcc       ry_fcc       rz_fcc
  0.0000E+00   0.0000E+00   0.0000E+00
  0.8550E+00   0.8550E+00   0.0000E+00
  0.8550E+00   0.0000E+00   0.8550E+00
  0.0000E+00   0.8550E+00   0.8550E+00
  0.0000E+00   0.0000E+00   0.1710E+01
  0.8550E+00   0.8550E+00   0.1710E+01
  0.8550E+00   0.0000E+00   0.2565E+01
  0.0000E+00   0.8550E+00   0.2565E+01
  0.0000E+00   0.0000E+00   0.3420E+01
  0.8550E+00   0.8550E+00   0.3420E+01
  0.8550E+00   0.0000E+00   0.4275E+01
  0.0000E+00   0.8550E+00   0.4275E+01
  0.0000E+00   0.0000E+00   0.5130E+01
  0.8550E+00   0.8550E+00   0.5130E+01
  0.8550E+00   0.0000E+00   0.5985E+01
  0.0000E+00   0.8550E+00   0.5985E+01
  0.0000E+00   0.1710E+01   0.0000E+00
  0.8550E+00   0.2565E+01   0.0000E+00
  0.8550E+00   0.1710E+01   0.8550E+00
  0.0000E+00   0.2565E+01   0.8550E+00
  0.0000E+00   0.1710E+01   0.1710E+01
  0.8550E+00   0.2565E+01   0.1710E+01
  0.8550E+00   0.1710E+01   0.2565E+01
  0.0000E+00   0.2565E+01   0.2565E+01
  0.0000E+00   0.1710E+01   0.3420E+01
  0.8550E+00   0.2565E+01   0.3420E+01
  0.8550E+00   0.1710E+01   0.4275E+01
  0.0000E+00   0.2565E+01   0.4275E+01
  0.0000E+00   0.1710E+01   0.5130E+01
  0.8550E+00   0.2565E+01   0.5130E+01
  0.8550E+00   0.1710E+01   0.5985E+01
  0.0000E+00   0.2565E+01   0.5985E+01
  0.0000E+00   0.3420E+01   0.0000E+00
  0.8550E+00   0.4275E+01   0.0000E+00
  0.8550E+00   0.3420E+01   0.8550E+00
  0.0000E+00   0.4275E+01   0.8550E+00
  0.0000E+00   0.3420E+01   0.1710E+01
  0.8550E+00   0.4275E+01   0.1710E+01
  0.8550E+00   0.3420E+01   0.2565E+01
  0.0000E+00   0.4275E+01   0.2565E+01
  0.0000E+00   0.3420E+01   0.3420E+01
  0.8550E+00   0.4275E+01   0.3420E+01
  0.8550E+00   0.3420E+01   0.4275E+01
  0.0000E+00   0.4275E+01   0.4275E+01
  0.0000E+00   0.3420E+01   0.5130E+01
  0.8550E+00   0.4275E+01   0.5130E+01
  0.8550E+00   0.3420E+01   0.5985E+01
  0.0000E+00   0.4275E+01   0.5985E+01
  0.0000E+00   0.5130E+01   0.0000E+00
  0.8550E+00   0.5985E+01   0.0000E+00
  0.8550E+00   0.5130E+01   0.8550E+00
  0.0000E+00   0.5985E+01   0.8550E+00
  0.0000E+00   0.5130E+01   0.1710E+01
  0.8550E+00   0.5985E+01   0.1710E+01
  0.8550E+00   0.5130E+01   0.2565E+01
  0.0000E+00   0.5985E+01   0.2565E+01
  0.0000E+00   0.5130E+01   0.3420E+01
  0.8550E+00   0.5985E+01   0.3420E+01
  0.8550E+00   0.5130E+01   0.4275E+01
  0.0000E+00   0.5985E+01   0.4275E+01
  0.0000E+00   0.5130E+01   0.5130E+01
  0.8550E+00   0.5985E+01   0.5130E+01
  0.8550E+00   0.5130E+01   0.5985E+01
  0.0000E+00   0.5985E+01   0.5985E+01
  0.1710E+01   0.0000E+00   0.0000E+00
  0.2565E+01   0.8550E+00   0.0000E+00
  0.2565E+01   0.0000E+00   0.8550E+00
  0.1710E+01   0.8550E+00   0.8550E+00
  0.1710E+01   0.0000E+00   0.1710E+01
  0.2565E+01   0.8550E+00   0.1710E+01
  0.2565E+01   0.0000E+00   0.2565E+01
  0.1710E+01   0.8550E+00   0.2565E+01
  0.1710E+01   0.0000E+00   0.3420E+01
  0.2565E+01   0.8550E+00   0.3420E+01
  0.2565E+01   0.0000E+00   0.4275E+01
  0.1710E+01   0.8550E+00   0.4275E+01
  0.1710E+01   0.0000E+00   0.5130E+01
  0.2565E+01   0.8550E+00   0.5130E+01
  0.2565E+01   0.0000E+00   0.5985E+01
  0.1710E+01   0.8550E+00   0.5985E+01
