     MC_step       U_adim       P_adim
           1  -0.1514E+04  -0.6117E+01
           2  -0.1510E+04  -0.6022E+01
           3  -0.1507E+04  -0.5927E+01
           4  -0.1503E+04  -0.5800E+01
           5  -0.1499E+04  -0.5702E+01
           6  -0.1494E+04  -0.5567E+01
           7  -0.1490E+04  -0.5469E+01
           8  -0.1484E+04  -0.5340E+01
           9  -0.1481E+04  -0.5246E+01
          10  -0.1476E+04  -0.5142E+01
          11  -0.1472E+04  -0.5032E+01
          12  -0.1465E+04  -0.4867E+01
          13  -0.1459E+04  -0.4731E+01
          14  -0.1448E+04  -0.4497E+01
          15  -0.1444E+04  -0.4418E+01
          16  -0.1440E+04  -0.4338E+01
          17  -0.1432E+04  -0.4192E+01
          18  -0.1417E+04  -0.3897E+01
          19  -0.1406E+04  -0.3671E+01
          20  -0.1394E+04  -0.3458E+01
          21  -0.1389E+04  -0.3369E+01
          22  -0.1371E+04  -0.3044E+01
          23  -0.1357E+04  -0.2791E+01
          24  -0.1351E+04  -0.2659E+01
          25  -0.1335E+04  -0.2406E+01
          26  -0.1329E+04  -0.2288E+01
          27  -0.1317E+04  -0.2059E+01
          28  -0.1305E+04  -0.1852E+01
          29  -0.1300E+04  -0.1764E+01
          30  -0.1296E+04  -0.1636E+01
          31  -0.1279E+04  -0.1351E+01
          32  -0.1250E+04  -0.8691E+00
          33  -0.1240E+04  -0.6773E+00
          34  -0.1201E+04  -0.5765E-01
          35  -0.1181E+04   0.2428E+00
          36  -0.1171E+04   0.4408E+00
          37  -0.1143E+04   0.8914E+00
          38  -0.1145E+04   0.8612E+00
          39  -0.1114E+04   0.1379E+01
          40  -0.1101E+04   0.1584E+01
          41  -0.1088E+04   0.1750E+01
          42  -0.1058E+04   0.2228E+01
          43  -0.1004E+04   0.2986E+01
          44  -0.9543E+03   0.3699E+01
          45  -0.9554E+03   0.3709E+01
          46  -0.9419E+03   0.3994E+01
          47  -0.8764E+03   0.4942E+01
          48  -0.8266E+03   0.5627E+01
          49  -0.7776E+03   0.6288E+01
          50  -0.7530E+03   0.6707E+01
          51  -0.6803E+03   0.7698E+01
          52  -0.6361E+03   0.8306E+01
          53  -0.5096E+03   0.1009E+02
          54  -0.3835E+03   0.1185E+02
          55  -0.3626E+03   0.1219E+02
          56  -0.3784E+03   0.1201E+02
          57  -0.3013E+03   0.1308E+02
          58  -0.4326E+03   0.1139E+02
          59  -0.3991E+03   0.1194E+02
          60  -0.4439E+03   0.1150E+02
          61  -0.4617E+03   0.1127E+02
          62  -0.4328E+03   0.1167E+02
          63  -0.3936E+03   0.1231E+02
          64  -0.3245E+03   0.1322E+02
          65  -0.3211E+03   0.1333E+02
          66  -0.1116E+03   0.1614E+02
          67  -0.1579E+03   0.1555E+02
          68  -0.9155E+01   0.1748E+02
          69  -0.3799E+02   0.1713E+02
          70   0.2663E+03   0.2118E+02
          71   0.2455E+03   0.2100E+02
          72   0.3193E+03   0.2203E+02
          73   0.5375E+03   0.2499E+02
          74   0.6941E+03   0.2703E+02
          75   0.6870E+03   0.2697E+02
          76   0.9035E+03   0.2986E+02
          77   0.9560E+03   0.3063E+02
          78   0.8401E+03   0.2904E+02
          79   0.8891E+03   0.2974E+02
          80   0.9796E+03   0.3102E+02
          81   0.1153E+04   0.3326E+02
          82   0.1128E+04   0.3298E+02
          83   0.1223E+04   0.3430E+02
          84   0.1382E+04   0.3646E+02
          85   0.1731E+04   0.4112E+02
          86   0.1882E+04   0.4323E+02
          87   0.2504E+04   0.5131E+02
          88   0.2155E+04   0.4699E+02
          89   0.2528E+04   0.5184E+02
          90   0.2585E+04   0.5271E+02
          91   0.2609E+04   0.5311E+02
          92   0.3046E+04   0.5876E+02
          93   0.3104E+04   0.5950E+02
          94   0.3440E+04   0.6387E+02
          95   0.2901E+04   0.5716E+02
          96   0.2802E+04   0.5602E+02
          97   0.2662E+04   0.5428E+02
          98   0.2217E+04   0.4855E+02
          99   0.2494E+04   0.5206E+02
         100   0.2904E+04   0.5739E+02
         101   0.3529E+04   0.6555E+02
         102   0.3914E+04   0.7070E+02
         103   0.4247E+04   0.7511E+02
         104   0.3866E+04   0.7035E+02
         105   0.4334E+04   0.7645E+02
         106   0.4185E+04   0.7461E+02
         107   0.4022E+04   0.7252E+02
         108   0.4295E+04   0.7610E+02
         109   0.4287E+04   0.7623E+02
         110   0.4416E+04   0.7788E+02
         111   0.4942E+04   0.8481E+02
         112   0.4748E+04   0.8242E+02
         113   0.5179E+04   0.8798E+02
         114   0.5697E+04   0.9457E+02
         115   0.5016E+04   0.8597E+02
         116   0.5036E+04   0.8630E+02
         117   0.5282E+04   0.8943E+02
         118   0.5062E+04   0.8654E+02
         119   0.5214E+04   0.8855E+02
         120   0.5642E+04   0.9396E+02
         121   0.6017E+04   0.9886E+02
         122   0.6190E+04   0.1011E+03
         123   0.6537E+04   0.1058E+03
         124   0.5818E+04   0.9650E+02
         125   0.6125E+04   0.1005E+03
         126   0.6330E+04   0.1031E+03
         127   0.6822E+04   0.1094E+03
         128   0.6352E+04   0.1035E+03
         129   0.6499E+04   0.1053E+03
         130   0.6693E+04   0.1080E+03
         131   0.6877E+04   0.1104E+03
         132   0.6989E+04   0.1120E+03
         133   0.6437E+04   0.1049E+03
         134   0.6909E+04   0.1110E+03
         135   0.7294E+04   0.1159E+03
         136   0.7612E+04   0.1200E+03
         137   0.7888E+04   0.1237E+03
         138   0.8169E+04   0.1274E+03
         139   0.8576E+04   0.1326E+03
         140   0.8717E+04   0.1345E+03
         141   0.8851E+04   0.1363E+03
         142   0.9484E+04   0.1444E+03
         143   0.9458E+04   0.1442E+03
         144   0.8539E+04   0.1322E+03
         145   0.8701E+04   0.1341E+03
         146   0.8688E+04   0.1338E+03
         147   0.8588E+04   0.1327E+03
         148   0.8982E+04   0.1378E+03
         149   0.8979E+04   0.1381E+03
         150   0.8837E+04   0.1362E+03
         151   0.9162E+04   0.1405E+03
         152   0.9690E+04   0.1470E+03
         153   0.9606E+04   0.1459E+03
         154   0.9156E+04   0.1404E+03
         155   0.8587E+04   0.1330E+03
         156   0.8930E+04   0.1377E+03
         157   0.8940E+04   0.1379E+03
         158   0.9535E+04   0.1456E+03
         159   0.1012E+05   0.1530E+03
         160   0.9942E+04   0.1509E+03
         161   0.9304E+04   0.1428E+03
         162   0.9360E+04   0.1436E+03
         163   0.9431E+04   0.1447E+03
         164   0.9100E+04   0.1403E+03
         165   0.9627E+04   0.1471E+03
         166   0.9794E+04   0.1493E+03
         167   0.9794E+04   0.1493E+03
         168   0.9547E+04   0.1463E+03
         169   0.1004E+05   0.1527E+03
         170   0.9774E+04   0.1494E+03
         171   0.1028E+05   0.1559E+03
         172   0.1081E+05   0.1626E+03
         173   0.1090E+05   0.1639E+03
         174   0.1055E+05   0.1594E+03
         175   0.1087E+05   0.1635E+03
         176   0.1099E+05   0.1652E+03
