          vx        p(vx)           vy        p(vy)           vz        p(vz)
 -0.1805E+01   0.3636E+00  -0.1768E+01   0.9167E+00  -0.1903E+01   0.2727E+00
 -0.1734E+01   0.4545E+00  -0.1698E+01   0.5000E+00  -0.1832E+01   0.9091E-01
 -0.1663E+01   0.5455E+00  -0.1627E+01   0.5833E+00  -0.1760E+01   0.3636E+00
 -0.1593E+01   0.4545E+00  -0.1557E+01   0.5000E+00  -0.1689E+01   0.4545E+00
 -0.1522E+01   0.6364E+00  -0.1486E+01   0.4167E+00  -0.1618E+01   0.6364E+00
 -0.1451E+01   0.2727E+00  -0.1416E+01   0.4167E+00  -0.1547E+01   0.7273E+00
 -0.1381E+01   0.9091E-01  -0.1345E+01   0.3333E+00  -0.1476E+01   0.6364E+00
 -0.1310E+01   0.2727E+00  -0.1275E+01   0.5000E+00  -0.1405E+01   0.6364E+00
 -0.1239E+01   0.2727E+00  -0.1204E+01   0.3333E+00  -0.1334E+01   0.2727E+00
 -0.1169E+01   0.7273E+00  -0.1134E+01   0.2500E+00  -0.1262E+01   0.4545E+00
 -0.1098E+01   0.3636E+00  -0.1063E+01   0.1667E+00  -0.1191E+01   0.1818E+00
 -0.1027E+01   0.2727E+00  -0.9928E+00   0.5000E+00  -0.1120E+01   0.2727E+00
 -0.9567E+00   0.6364E+00  -0.9224E+00   0.0000E+00  -0.1049E+01   0.5455E+00
 -0.8860E+00   0.3636E+00  -0.8519E+00   0.7500E+00  -0.9778E+00   0.2727E+00
 -0.8153E+00   0.3636E+00  -0.7814E+00   0.5000E+00  -0.9067E+00   0.3636E+00
 -0.7447E+00   0.3636E+00  -0.7110E+00   0.5000E+00  -0.8355E+00   0.4545E+00
 -0.6740E+00   0.7273E+00  -0.6405E+00   0.5833E+00  -0.7644E+00   0.4545E+00
 -0.6033E+00   0.6364E+00  -0.5700E+00   0.0000E+00  -0.6932E+00   0.4545E+00
 -0.5327E+00   0.8182E+00  -0.4995E+00   0.5000E+00  -0.6221E+00   0.7273E+00
 -0.4620E+00   0.4545E+00  -0.4291E+00   0.5000E+00  -0.5509E+00   0.3636E+00
 -0.3913E+00   0.3636E+00  -0.3586E+00   0.3333E+00  -0.4798E+00   0.3636E+00
 -0.3207E+00   0.6364E+00  -0.2881E+00   0.2500E+00  -0.4086E+00   0.6364E+00
 -0.2500E+00   0.1818E+00  -0.2177E+00   0.5000E+00  -0.3375E+00   0.2727E+00
 -0.1793E+00   0.8182E+00  -0.1472E+00   0.8333E-01  -0.2663E+00   0.5455E+00
 -0.1087E+00   0.5455E+00  -0.7672E-01   0.1667E+00  -0.1952E+00   0.4545E+00
 -0.3801E-01   0.4545E+00  -0.6245E-02   0.8333E+00  -0.1240E+00   0.2727E+00
  0.3265E-01   0.3636E+00   0.6423E-01   0.5000E+00  -0.5289E-01   0.5455E+00
  0.1033E+00   0.2727E+00   0.1347E+00   0.3333E+00   0.1826E-01   0.6364E+00
  0.1740E+00   0.4545E+00   0.2052E+00   0.3333E+00   0.8941E-01   0.3636E+00
  0.2446E+00   0.8182E+00   0.2756E+00   0.4167E+00   0.1606E+00   0.2727E+00
  0.3153E+00   0.4545E+00   0.3461E+00   0.2500E+00   0.2317E+00   0.4545E+00
  0.3860E+00   0.2727E+00   0.4166E+00   0.3333E+00   0.3029E+00   0.5455E+00
  0.4566E+00   0.3636E+00   0.4870E+00   0.6667E+00   0.3740E+00   0.4545E+00
  0.5273E+00   0.1818E+00   0.5575E+00   0.6667E+00   0.4452E+00   0.1818E+00
  0.5980E+00   0.7273E+00   0.6280E+00   0.1667E+00   0.5163E+00   0.3636E+00
  0.6686E+00   0.1000E+01   0.6985E+00   0.1667E+00   0.5875E+00   0.6364E+00
  0.7393E+00   0.0000E+00   0.7689E+00   0.2500E+00   0.6586E+00   0.3636E+00
  0.8100E+00   0.7273E+00   0.8394E+00   0.4167E+00   0.7298E+00   0.2727E+00
  0.8806E+00   0.1818E+00   0.9099E+00   0.4167E+00   0.8009E+00   0.3636E+00
  0.9513E+00   0.5455E+00   0.9803E+00   0.5833E+00   0.8721E+00   0.6364E+00
  0.1022E+01   0.3636E+00   0.1051E+01   0.8333E+00   0.9432E+00   0.6364E+00
  0.1093E+01   0.4545E+00   0.1121E+01   0.5000E+00   0.1014E+01   0.4545E+00
  0.1163E+01   0.6364E+00   0.1192E+01   0.3333E+00   0.1086E+01   0.2727E+00
  0.1234E+01   0.5455E+00   0.1262E+01   0.3333E+00   0.1157E+01   0.6364E+00
  0.1305E+01   0.9091E+00   0.1333E+01   0.6667E+00   0.1228E+01   0.2727E+00
  0.1375E+01   0.4545E+00   0.1403E+01   0.3333E+00   0.1299E+01   0.6364E+00
  0.1446E+01   0.2727E+00   0.1474E+01   0.2500E+00   0.1370E+01   0.5455E+00
  0.1517E+01   0.4545E+00   0.1544E+01   0.1667E+00   0.1441E+01   0.5455E+00
  0.1587E+01   0.1818E+00   0.1615E+01   0.5000E+00   0.1512E+01   0.1000E+01
  0.1658E+01   0.5455E+00   0.1685E+01   0.1000E+01   0.1584E+01   0.1000E+01
