          vx        p(vx)           vy        p(vy)           vz        p(vz)        v_tot      p(vtot)
  0.6770E+00   0.3088E+00  -0.1716E+01   0.9968E-01   0.1055E+01   0.2294E+00   0.2125E+01   0.4009E+00
  0.9227E-01   0.3789E+00  -0.4683E+00   0.3443E+00   0.4745E+00   0.3434E+00   0.6731E+00   0.2550E+00
  0.1298E+01   0.1768E+00   0.1943E+00   0.3739E+00  -0.9585E+00   0.2505E+00   0.1625E+01   0.5498E+00
 -0.5302E+00   0.3347E+00  -0.1702E+01   0.1020E+00   0.6013E+00   0.3227E+00   0.1881E+01   0.4899E+00
 -0.1171E+01   0.2039E+00   0.2553E+00   0.3693E+00   0.9290E+00   0.2569E+00   0.1517E+01   0.5592E+00
 -0.6346E+00   0.3167E+00   0.1635E+01   0.1128E+00  -0.7939E+00   0.2856E+00   0.1925E+01   0.4755E+00
  0.7092E+00   0.3026E+00   0.5030E-01   0.3799E+00   0.4904E+00   0.3410E+00   0.8637E+00   0.3676E+00
  0.1330E+01   0.1702E+00   0.1735E+01   0.9687E-01  -0.1748E+01   0.9480E-01   0.2799E+01   0.1539E+00
  0.1511E+01   0.1348E+00  -0.1240E+01   0.1891E+00  -0.1538E+01   0.1298E+00   0.2487E+01   0.2572E+00
  0.8562E+00   0.2726E+00   0.1398E+01   0.1565E+00   0.1493E+01   0.1381E+00   0.2217E+01   0.3639E+00
  0.1729E+01   0.9780E-01   0.1747E+01   0.9506E-01   0.1012E+01   0.2389E+00   0.2658E+01   0.1971E+00
 -0.3234E+00   0.3627E+00   0.4337E+00   0.3492E+00   0.1643E+01   0.1116E+00   0.1730E+01   0.5311E+00
  0.1687E+00   0.3755E+00   0.8857E+00   0.2663E+00   0.5475E+00   0.3319E+00   0.1055E+01   0.4641E+00
 -0.9190E+00   0.2591E+00   0.1248E+01   0.1874E+00  -0.5188E+00   0.3366E+00   0.1634E+01   0.5486E+00
 -0.1111E+01   0.2170E+00   0.1454E+01   0.1455E+00  -0.6847E+00   0.3074E+00   0.1954E+01   0.4656E+00
 -0.8942E+00   0.2645E+00   0.1063E+01   0.2276E+00  -0.2088E+00   0.3729E+00   0.1405E+01   0.5565E+00
  0.6356E+00   0.3166E+00  -0.9369E+00   0.2552E+00  -0.3788E+00   0.3564E+00   0.1194E+01   0.5157E+00
 -0.4264E+00   0.3502E+00   0.5694E-01   0.3798E+00  -0.7246E+00   0.2996E+00   0.8427E+00   0.3556E+00
 -0.1569E+01   0.1242E+00  -0.1409E+01   0.1543E+00   0.1553E+01   0.1270E+00   0.2619E+01   0.2099E+00
  0.1426E+01   0.1510E+00  -0.7230E+00   0.2999E+00  -0.2051E-01   0.3803E+00   0.1599E+01   0.5532E+00
  0.1723E+00   0.3753E+00   0.2739E+00   0.3676E+00   0.5448E+00   0.3324E+00   0.6336E+00   0.2314E+00
 -0.1695E+01   0.1030E+00   0.1656E+01   0.1094E+00  -0.1552E+01   0.1273E+00   0.2833E+01   0.1446E+00
  0.1355E+01   0.1651E+00  -0.7232E+00   0.2999E+00   0.6943E+00   0.3055E+00   0.1686E+01   0.5401E+00
 -0.9287E+00   0.2570E+00   0.4708E+00   0.3439E+00  -0.1668E+01   0.1074E+00   0.1966E+01   0.4612E+00
 -0.1646E+01   0.1111E+00  -0.1374E+01   0.1612E+00   0.1610E+01   0.1171E+00   0.2681E+01   0.1894E+00
 -0.3036E+00   0.3648E+00   0.5505E+00   0.3314E+00  -0.1445E+01   0.1472E+00   0.1576E+01   0.5555E+00
  0.1435E+01   0.1492E+00   0.6031E+00   0.3224E+00   0.1025E+00   0.3786E+00   0.1560E+01   0.5568E+00
  0.2589E+00   0.3690E+00  -0.1175E+01   0.2032E+00   0.1519E+01   0.1333E+00   0.1938E+01   0.4713E+00
  0.1174E+01   0.2034E+00   0.1422E+01   0.1517E+00   0.3198E+00   0.3631E+00   0.1871E+01   0.4930E+00
  0.8266E+00   0.2788E+00   0.1738E+01   0.9629E-01   0.1565E+01   0.1249E+00   0.2481E+01   0.2595E+00
  0.4288E+00   0.3499E+00   0.1348E+01   0.1664E+00  -0.7345E+00   0.2977E+00   0.1594E+01   0.5536E+00
  0.9397E+00   0.2546E+00  -0.1626E+00   0.3758E+00  -0.1801E+00   0.3748E+00   0.9705E+00   0.4246E+00
  0.7199E+00   0.3005E+00  -0.6392E+00   0.3159E+00   0.8153E+00   0.2812E+00   0.1262E+01   0.5339E+00
