        time        U_med        var_U       Ec_med       var_Ec     Etot_med     var_Etot    press_med    var_press        T_med        var_T
  0.5000E-02  -0.5030E+01   0.0000E+00   0.1668E+01   0.0000E+00  -0.3362E+01   0.0000E+00   0.2404E+01   0.0000E+00   0.1112E+01   0.0000E+00
  0.1000E-01  -0.5029E+01   0.3001E-06   0.1668E+01   0.7594E-07  -0.3362E+01   0.7413E-07   0.2409E+01   0.2282E-04   0.1112E+01   0.3375E-07
  0.1500E-01  -0.5027E+01   0.1026E-04   0.1666E+01   0.7577E-05  -0.3361E+01   0.2329E-06   0.2418E+01   0.2089E-03   0.1110E+01   0.3367E-05
  0.2000E-01  -0.5024E+01   0.3192E-04   0.1663E+01   0.2741E-04  -0.3361E+01   0.2430E-06   0.2430E+01   0.5639E-03   0.1109E+01   0.1218E-04
  0.2500E-01  -0.5021E+01   0.5395E-04   0.1660E+01   0.4815E-04  -0.3361E+01   0.2383E-06   0.2441E+01   0.9137E-03   0.1107E+01   0.2140E-04
  0.3000E-01  -0.5020E+01   0.6389E-04   0.1659E+01   0.5879E-04  -0.3361E+01   0.1995E-06   0.2449E+01   0.1091E-02   0.1106E+01   0.2613E-04
  0.3500E-01  -0.5018E+01   0.6509E-04   0.1657E+01   0.5938E-04  -0.3361E+01   0.2174E-06   0.2454E+01   0.1110E-02   0.1105E+01   0.2639E-04
  0.4000E-01  -0.5017E+01   0.6060E-04   0.1657E+01   0.5484E-04  -0.3361E+01   0.2347E-06   0.2457E+01   0.1028E-02   0.1104E+01   0.2437E-04
  0.4500E-01  -0.5017E+01   0.5454E-04   0.1657E+01   0.4903E-04  -0.3361E+01   0.2905E-06   0.2458E+01   0.9175E-03   0.1104E+01   0.2179E-04
  0.5000E-01  -0.5017E+01   0.4922E-04   0.1657E+01   0.4448E-04  -0.3361E+01   0.3073E-06   0.2457E+01   0.8414E-03   0.1104E+01   0.1977E-04
