          fx           fy           fz
 -0.5940E-14  -0.5940E-14  -0.6217E-14
 -0.2644E-14  -0.1762E-14  -0.4788E-14
 -0.3414E-14  -0.4496E-14  -0.2220E-14
 -0.5995E-14  -0.2359E-14  -0.2359E-14
 -0.5017E-14  -0.5010E-14   0.2082E-15
 -0.4850E-14  -0.4392E-14   0.1874E-15
 -0.4635E-14  -0.5114E-14   0.2602E-14
 -0.5697E-14  -0.3136E-14   0.2692E-14
 -0.4698E-14  -0.5142E-14   0.8465E-15
 -0.2630E-14  -0.2463E-14   0.8327E-15
 -0.2692E-14  -0.3997E-14  -0.5669E-14
 -0.4163E-14  -0.1749E-14  -0.5482E-14
 -0.5024E-14  -0.5905E-14  -0.1957E-14
 -0.2630E-14  -0.2394E-14  -0.1950E-14
 -0.4365E-14  -0.4163E-14   0.1251E-13
 -0.5884E-14  -0.2366E-14   0.1218E-13
 -0.6425E-14   0.2220E-15  -0.5579E-14
 -0.3220E-14   0.2304E-14  -0.4614E-14
 -0.2262E-14   0.1242E-14  -0.3324E-14
 -0.5662E-14   0.2186E-14  -0.2776E-14
 -0.6259E-14   0.3053E-15  -0.1388E-15
 -0.4288E-14   0.2678E-14  -0.4788E-15
 -0.3608E-14   0.1187E-14   0.3761E-14
 -0.6127E-14   0.1346E-14   0.2442E-14
 -0.6023E-14  -0.3469E-15   0.8049E-15
 -0.1443E-14   0.1256E-14   0.6037E-15
 -0.2068E-14   0.1874E-15  -0.6252E-14
 -0.4621E-14   0.9506E-15  -0.5884E-14
 -0.6203E-14  -0.5829E-15  -0.1991E-14
 -0.1790E-14   0.1291E-14  -0.1728E-14
 -0.3421E-14   0.5204E-15   0.1135E-13
 -0.7168E-14   0.2283E-14   0.1226E-13
 -0.5204E-14  -0.5829E-15  -0.6460E-14
 -0.1610E-14  -0.6092E-14  -0.5218E-14
 -0.9437E-15   0.1811E-14  -0.1672E-14
 -0.5440E-14  -0.5600E-14  -0.1721E-14
 -0.6967E-14   0.8049E-15   0.2082E-15
 -0.2262E-14  -0.7598E-14  -0.2845E-15
 -0.1416E-14   0.7216E-15   0.1617E-14
 -0.6037E-14  -0.6523E-14   0.1166E-14
 -0.7577E-14   0.7494E-15   0.5274E-15
 -0.1527E-15  -0.6710E-14   0.6661E-15
  0.5274E-15   0.1867E-14  -0.5045E-14
 -0.4510E-14  -0.6259E-14  -0.5260E-14
 -0.5995E-14   0.4163E-15  -0.1797E-14
 -0.9298E-15  -0.4517E-14  -0.1957E-14
 -0.3261E-15   0.1756E-14   0.1187E-13
 -0.5461E-14  -0.6106E-14   0.1258E-13
 -0.6453E-14  -0.2782E-14  -0.5586E-14
 -0.3483E-14   0.1220E-13  -0.5371E-14
 -0.1013E-14  -0.1832E-14  -0.1867E-14
 -0.5773E-14   0.1294E-13  -0.2505E-14
 -0.5995E-14  -0.1096E-14   0.3886E-15
 -0.2713E-14   0.1314E-13  -0.3469E-16
 -0.1520E-14  -0.1735E-14   0.2207E-14
 -0.6273E-14   0.1252E-13   0.1756E-14
 -0.7508E-14  -0.1790E-14   0.5829E-15
 -0.2894E-14   0.1170E-13   0.6037E-15
 -0.4233E-15  -0.1346E-14  -0.5392E-14
 -0.6724E-14   0.1277E-13  -0.6134E-14
 -0.6731E-14  -0.1103E-14  -0.1991E-14
 -0.2290E-14   0.1225E-13  -0.2255E-14
 -0.1998E-14  -0.1804E-14   0.1168E-13
 -0.7883E-14   0.1443E-13   0.1332E-13
  0.1665E-14  -0.5509E-14  -0.5600E-14
 -0.5274E-15  -0.3053E-14  -0.4878E-14
 -0.9021E-16  -0.4718E-14  -0.2748E-14
 -0.1138E-14  -0.3365E-14  -0.3254E-14
  0.1360E-14  -0.4538E-14  -0.3608E-15
