      rx_fcc       ry_fcc       rz_fcc
 -0.3028E+01  -0.3030E+01  -0.3041E+01
 -0.2285E+01  -0.2289E+01  -0.3048E+01
 -0.2294E+01  -0.3041E+01  -0.2289E+01
 -0.3052E+01  -0.2296E+01  -0.2285E+01
 -0.3064E+01  -0.3066E+01  -0.1528E+01
 -0.2304E+01  -0.2293E+01  -0.1530E+01
 -0.2304E+01  -0.3061E+01  -0.7737E+00
 -0.3073E+01  -0.2291E+01  -0.7612E+00
 -0.3069E+01  -0.3072E+01   0.4320E-02
 -0.2302E+01  -0.2297E+01  -0.5081E-02
 -0.2301E+01  -0.3066E+01   0.7627E+00
 -0.3083E+01  -0.2313E+01   0.7693E+00
 -0.3072E+01  -0.3076E+01   0.1541E+01
 -0.2320E+01  -0.2313E+01   0.1546E+01
 -0.2315E+01  -0.3086E+01   0.2322E+01
 -0.3092E+01  -0.2317E+01   0.2315E+01
 -0.3095E+01  -0.1541E+01  -0.3087E+01
 -0.2327E+01  -0.7818E+00  -0.3091E+01
 -0.2323E+01  -0.1556E+01  -0.2320E+01
 -0.3092E+01  -0.7679E+00  -0.2328E+01
 -0.3100E+01  -0.1542E+01  -0.1545E+01
 -0.2326E+01  -0.7709E+00  -0.1548E+01
 -0.2319E+01  -0.1545E+01  -0.7770E+00
 -0.3092E+01  -0.7774E+00  -0.7762E+00
 -0.3110E+01  -0.1545E+01  -0.7525E-02
 -0.2324E+01  -0.7675E+00   0.6099E-03
 -0.2332E+01  -0.1550E+01   0.7806E+00
 -0.3110E+01  -0.7765E+00   0.7795E+00
 -0.3105E+01  -0.1543E+01   0.1555E+01
 -0.2324E+01  -0.7693E+00   0.1558E+01
 -0.2320E+01  -0.1558E+01   0.2327E+01
 -0.3099E+01  -0.7829E+00   0.2330E+01
 -0.3099E+01  -0.4196E-02  -0.3100E+01
 -0.2341E+01   0.7838E+00  -0.3113E+01
 -0.2336E+01   0.7737E-03  -0.2328E+01
 -0.3104E+01   0.7756E+00  -0.2329E+01
 -0.3118E+01   0.1343E-02  -0.1556E+01
 -0.2330E+01   0.7841E+00  -0.1551E+01
 -0.2338E+01   0.2156E-02  -0.7823E+00
 -0.3123E+01   0.7876E+00  -0.7786E+00
 -0.3126E+01   0.3710E-02  -0.4535E-03
 -0.2341E+01   0.7743E+00   0.6002E-02
 -0.2344E+01  -0.4880E-03   0.7825E+00
 -0.3117E+01   0.7739E+00   0.7867E+00
 -0.3119E+01  -0.1099E-03   0.1559E+01
 -0.2342E+01   0.7832E+00   0.1555E+01
 -0.2345E+01   0.6146E-03   0.2348E+01
 -0.3123E+01   0.7846E+00   0.2346E+01
 -0.3132E+01   0.1571E+01  -0.3133E+01
 -0.2347E+01   0.2346E+01  -0.3127E+01
 -0.2353E+01   0.1561E+01  -0.2340E+01
 -0.3131E+01   0.2350E+01  -0.2345E+01
 -0.3132E+01   0.1575E+01  -0.1571E+01
 -0.2355E+01   0.2354E+01  -0.1567E+01
 -0.2345E+01   0.1562E+01  -0.7893E+00
 -0.3135E+01   0.2349E+01  -0.7865E+00
