        time     pot_ergy     kin_ergy         v_mc        press       T_adim
  0.0000E+00  -0.4926E+01   0.1657E+01   0.2614E-16   0.2663E+01   0.1104E+01
  0.5000E-02  -0.4937E+01   0.1666E+01   0.2661E-16   0.2628E+01   0.1111E+01
  0.1000E-01  -0.4948E+01   0.1678E+01   0.3834E-16   0.2589E+01   0.1119E+01
  0.1500E-01  -0.4959E+01   0.1689E+01   0.8174E-17   0.2552E+01   0.1126E+01
  0.2000E-01  -0.4965E+01   0.1696E+01   0.6040E-17   0.2525E+01   0.1131E+01
  0.2500E-01  -0.4968E+01   0.1699E+01   0.2828E-16   0.2511E+01   0.1133E+01
  0.3000E-01  -0.4965E+01   0.1697E+01   0.2899E-16   0.2516E+01   0.1131E+01
  0.3500E-01  -0.4958E+01   0.1690E+01   0.2953E-16   0.2531E+01   0.1127E+01
  0.4000E-01  -0.4952E+01   0.1683E+01   0.3950E-16   0.2549E+01   0.1122E+01
  0.4500E-01  -0.4947E+01   0.1678E+01   0.6945E-16   0.2557E+01   0.1119E+01
  0.5000E-01  -0.4949E+01   0.1680E+01   0.3152E-16   0.2545E+01   0.1120E+01
  0.5500E-01  -0.4959E+01   0.1690E+01   0.2807E-16   0.2509E+01   0.1126E+01
  0.6000E-01  -0.4975E+01   0.1706E+01   0.3097E-16   0.2452E+01   0.1137E+01
  0.6500E-01  -0.4995E+01   0.1726E+01   0.2897E-16   0.2382E+01   0.1150E+01
  0.7000E-01  -0.5016E+01   0.1746E+01   0.5619E-16   0.2311E+01   0.1164E+01
  0.7500E-01  -0.5033E+01   0.1763E+01   0.2142E-16   0.2250E+01   0.1175E+01
  0.8000E-01  -0.5045E+01   0.1775E+01   0.3098E-16   0.2206E+01   0.1183E+01
  0.8500E-01  -0.5052E+01   0.1782E+01   0.3411E-16   0.2180E+01   0.1188E+01
  0.9000E-01  -0.5053E+01   0.1784E+01   0.3770E-16   0.2168E+01   0.1189E+01
  0.9500E-01  -0.5054E+01   0.1785E+01   0.3662E-16   0.2162E+01   0.1190E+01
  0.1000E+00  -0.5057E+01   0.1787E+01   0.2170E-16   0.2154E+01   0.1191E+01
  0.1050E+00  -0.5060E+01   0.1791E+01   0.2392E-16   0.2142E+01   0.1194E+01
  0.1100E+00  -0.5066E+01   0.1797E+01   0.4690E-16   0.2125E+01   0.1198E+01
  0.1150E+00  -0.5074E+01   0.1803E+01   0.2168E-16   0.2106E+01   0.1202E+01
  0.1200E+00  -0.5079E+01   0.1808E+01   0.5979E-16   0.2095E+01   0.1205E+01
  0.1250E+00  -0.5080E+01   0.1809E+01   0.3793E-16   0.2095E+01   0.1206E+01
  0.1300E+00  -0.5078E+01   0.1807E+01   0.8143E-16   0.2109E+01   0.1204E+01
  0.1350E+00  -0.5072E+01   0.1801E+01   0.5422E-16   0.2134E+01   0.1201E+01
  0.1400E+00  -0.5065E+01   0.1793E+01   0.4622E-16   0.2163E+01   0.1196E+01
  0.1450E+00  -0.5058E+01   0.1787E+01   0.4109E-16   0.2191E+01   0.1191E+01
  0.1500E+00  -0.5055E+01   0.1783E+01   0.8298E-16   0.2211E+01   0.1188E+01
  0.1550E+00  -0.5054E+01   0.1781E+01   0.1397E-15   0.2223E+01   0.1188E+01
  0.1600E+00  -0.5054E+01   0.1781E+01   0.1685E-15   0.2231E+01   0.1188E+01
  0.1650E+00  -0.5054E+01   0.1781E+01   0.2694E-16   0.2242E+01   0.1187E+01
  0.1700E+00  -0.5050E+01   0.1777E+01   0.3040E-16   0.2261E+01   0.1185E+01
  0.1750E+00  -0.5043E+01   0.1770E+01   0.1834E-16   0.2293E+01   0.1180E+01
  0.1800E+00  -0.5033E+01   0.1760E+01   0.6443E-16   0.2334E+01   0.1173E+01
  0.1850E+00  -0.5021E+01   0.1748E+01   0.6022E-16   0.2381E+01   0.1165E+01
