        time     pot_ergy     kin_ergy         v_mc        press       T_adim
  0.0000E+00  -0.4700E+01   0.1664E+01   0.2703E-16   0.9070E+00   0.1109E+01
  0.5000E-02  -0.4712E+01   0.1676E+01   0.4797E-16   0.8580E+00   0.1118E+01
  0.1000E-01  -0.4723E+01   0.1687E+01   0.2206E-16   0.8188E+00   0.1124E+01
  0.1500E-01  -0.4729E+01   0.1693E+01   0.2859E-16   0.7980E+00   0.1128E+01
  0.2000E-01  -0.4729E+01   0.1693E+01   0.1482E-16   0.7994E+00   0.1128E+01
  0.2500E-01  -0.4722E+01   0.1686E+01   0.3935E-16   0.8276E+00   0.1124E+01
  0.3000E-01  -0.4709E+01   0.1673E+01   0.3064E-16   0.8826E+00   0.1115E+01
  0.3500E-01  -0.4690E+01   0.1654E+01   0.1822E-16   0.9566E+00   0.1103E+01
  0.4000E-01  -0.4669E+01   0.1633E+01   0.3561E-16   0.1043E+01   0.1089E+01
  0.4500E-01  -0.4647E+01   0.1611E+01   0.1913E-16   0.1133E+01   0.1074E+01
  0.5000E-01  -0.4627E+01   0.1592E+01   0.3649E-16   0.1213E+01   0.1061E+01
  0.5500E-01  -0.4613E+01   0.1577E+01   0.1887E-16   0.1276E+01   0.1052E+01
  0.6000E-01  -0.4604E+01   0.1569E+01   0.2444E-16   0.1315E+01   0.1046E+01
  0.6500E-01  -0.4604E+01   0.1568E+01   0.3433E-16   0.1327E+01   0.1046E+01
  0.7000E-01  -0.4610E+01   0.1574E+01   0.9143E-17   0.1313E+01   0.1050E+01
  0.7500E-01  -0.4620E+01   0.1585E+01   0.2689E-16   0.1281E+01   0.1056E+01
  0.8000E-01  -0.4632E+01   0.1596E+01   0.3323E-16   0.1245E+01   0.1064E+01
  0.8500E-01  -0.4641E+01   0.1605E+01   0.5393E-17   0.1219E+01   0.1070E+01
  0.9000E-01  -0.4646E+01   0.1610E+01   0.4596E-16   0.1207E+01   0.1073E+01
  0.9500E-01  -0.4646E+01   0.1610E+01   0.4734E-16   0.1211E+01   0.1073E+01
  0.1000E+00  -0.4642E+01   0.1606E+01   0.1541E-16   0.1228E+01   0.1071E+01
  0.1050E+00  -0.4637E+01   0.1601E+01   0.1273E-16   0.1252E+01   0.1067E+01
  0.1100E+00  -0.4630E+01   0.1594E+01   0.2327E-16   0.1280E+01   0.1063E+01
  0.1150E+00  -0.4622E+01   0.1586E+01   0.5661E-16   0.1310E+01   0.1057E+01
  0.1200E+00  -0.4612E+01   0.1576E+01   0.2613E-16   0.1345E+01   0.1051E+01
  0.1250E+00  -0.4602E+01   0.1566E+01   0.7025E-16   0.1380E+01   0.1044E+01
  0.1300E+00  -0.4594E+01   0.1558E+01   0.9240E-16   0.1408E+01   0.1039E+01
  0.1350E+00  -0.4589E+01   0.1553E+01   0.2996E-16   0.1420E+01   0.1036E+01
  0.1400E+00  -0.4589E+01   0.1554E+01   0.5263E-16   0.1415E+01   0.1036E+01
  0.1450E+00  -0.4594E+01   0.1558E+01   0.5426E-16   0.1390E+01   0.1039E+01
  0.1500E+00  -0.4602E+01   0.1566E+01   0.5667E-16   0.1351E+01   0.1044E+01
  0.1550E+00  -0.4612E+01   0.1576E+01   0.4480E-16   0.1300E+01   0.1051E+01
  0.1600E+00  -0.4623E+01   0.1587E+01   0.4870E-16   0.1243E+01   0.1058E+01
  0.1650E+00  -0.4636E+01   0.1600E+01   0.8049E-16   0.1181E+01   0.1067E+01
  0.1700E+00  -0.4650E+01   0.1614E+01   0.2920E-16   0.1109E+01   0.1076E+01
  0.1750E+00  -0.4666E+01   0.1630E+01   0.3488E-16   0.1031E+01   0.1087E+01
  0.1800E+00  -0.4683E+01   0.1647E+01   0.4924E-16   0.9470E+00   0.1098E+01
  0.1850E+00  -0.4701E+01   0.1665E+01   0.6396E-16   0.8636E+00   0.1110E+01
  0.1900E+00  -0.4715E+01   0.1679E+01   0.4437E-16   0.7915E+00   0.1120E+01
  0.1950E+00  -0.4725E+01   0.1689E+01   0.5128E-16   0.7364E+00   0.1126E+01
  0.2000E+00  -0.4730E+01   0.1694E+01   0.2446E-16   0.7022E+00   0.1129E+01
  0.2050E+00  -0.4730E+01   0.1694E+01   0.8125E-16   0.6872E+00   0.1130E+01
  0.2100E+00  -0.4727E+01   0.1692E+01   0.7707E-16   0.6842E+00   0.1128E+01
  0.2150E+00  -0.4724E+01   0.1688E+01   0.2991E-16   0.6882E+00   0.1125E+01
  0.2200E+00  -0.4720E+01   0.1685E+01   0.6432E-16   0.6910E+00   0.1123E+01
  0.2250E+00  -0.4719E+01   0.1683E+01   0.2226E-16   0.6911E+00   0.1122E+01
  0.2300E+00  -0.4719E+01   0.1683E+01   0.9107E-17   0.6870E+00   0.1122E+01
  0.2350E+00  -0.4719E+01   0.1683E+01   0.3015E-16   0.6832E+00   0.1122E+01
  0.2400E+00  -0.4718E+01   0.1682E+01   0.4945E-16   0.6859E+00   0.1122E+01
  0.2450E+00  -0.4715E+01   0.1679E+01   0.2581E-16   0.7006E+00   0.1119E+01
  0.2500E+00  -0.4709E+01   0.1673E+01   0.2522E-16   0.7280E+00   0.1115E+01
  0.2550E+00  -0.4700E+01   0.1664E+01   0.2293E-16   0.7654E+00   0.1109E+01
  0.2600E+00  -0.4690E+01   0.1654E+01   0.3448E-16   0.8114E+00   0.1103E+01
  0.2650E+00  -0.4678E+01   0.1642E+01   0.3764E-16   0.8646E+00   0.1095E+01
  0.2700E+00  -0.4666E+01   0.1630E+01   0.4645E-16   0.9203E+00   0.1086E+01
  0.2750E+00  -0.4653E+01   0.1617E+01   0.2907E-16   0.9768E+00   0.1078E+01
  0.2800E+00  -0.4641E+01   0.1606E+01   0.1346E-16   0.1032E+01   0.1070E+01
  0.2850E+00  -0.4630E+01   0.1595E+01   0.2957E-16   0.1085E+01   0.1063E+01
  0.2900E+00  -0.4620E+01   0.1585E+01   0.4253E-16   0.1135E+01   0.1056E+01
  0.2950E+00  -0.4611E+01   0.1575E+01   0.3446E-16   0.1182E+01   0.1050E+01
  0.3000E+00  -0.4603E+01   0.1568E+01   0.1794E-16   0.1224E+01   0.1045E+01
  0.3050E+00  -0.4598E+01   0.1562E+01   0.3023E-16   0.1256E+01   0.1042E+01
  0.3100E+00  -0.4596E+01   0.1560E+01   0.3315E-16   0.1274E+01   0.1040E+01
  0.3150E+00  -0.4596E+01   0.1561E+01   0.8739E-17   0.1282E+01   0.1040E+01
  0.3200E+00  -0.4598E+01   0.1563E+01   0.2370E-16   0.1283E+01   0.1042E+01
  0.3250E+00  -0.4601E+01   0.1565E+01   0.4196E-16   0.1282E+01   0.1044E+01
  0.3300E+00  -0.4604E+01   0.1568E+01   0.2281E-16   0.1277E+01   0.1046E+01
  0.3350E+00  -0.4608E+01   0.1572E+01   0.4462E-16   0.1268E+01   0.1048E+01
  0.3400E+00  -0.4613E+01   0.1577E+01   0.2804E-16   0.1257E+01   0.1051E+01
  0.3450E+00  -0.4618E+01   0.1582E+01   0.2965E-16   0.1244E+01   0.1055E+01
  0.3500E+00  -0.4622E+01   0.1587E+01   0.2058E-16   0.1234E+01   0.1058E+01
