           i     pot_ergy     kin_ergy
  0.0000E+00   0.0000E+00   0.6445E-02
  0.5000E-02   0.0000E+00   0.6445E-02
  0.1000E-01   0.0000E+00   0.6445E-02
  0.1500E-01   0.0000E+00   0.6445E-02
  0.2000E-01   0.0000E+00   0.6445E-02
  0.2500E-01   0.0000E+00   0.6445E-02
  0.3000E-01   0.0000E+00   0.6445E-02
  0.3500E-01   0.0000E+00   0.6445E-02
  0.4000E-01   0.0000E+00   0.6445E-02
  0.4500E-01   0.0000E+00   0.6445E-02
  0.5000E-01   0.0000E+00   0.6445E-02
  0.5500E-01   0.0000E+00   0.6445E-02
  0.6000E-01   0.0000E+00   0.6445E-02
  0.6500E-01   0.0000E+00   0.6445E-02
  0.7000E-01   0.0000E+00   0.6445E-02
  0.7500E-01   0.0000E+00   0.6445E-02
  0.8000E-01   0.0000E+00   0.6445E-02
  0.8500E-01   0.0000E+00   0.6445E-02
  0.9000E-01   0.0000E+00   0.6445E-02
  0.9500E-01   0.0000E+00   0.6445E-02
  0.1000E+00   0.0000E+00   0.6445E-02
  0.1050E+00   0.0000E+00   0.6445E-02
  0.1100E+00   0.0000E+00   0.6445E-02
  0.1150E+00   0.0000E+00   0.6445E-02
  0.1200E+00   0.0000E+00   0.6445E-02
  0.1250E+00   0.0000E+00   0.6445E-02
  0.1300E+00   0.0000E+00   0.6445E-02
  0.1350E+00   0.0000E+00   0.6445E-02
  0.1400E+00   0.0000E+00   0.6445E-02
  0.1450E+00   0.0000E+00   0.6445E-02
  0.1500E+00   0.0000E+00   0.6445E-02
  0.1550E+00   0.0000E+00   0.6445E-02
  0.1600E+00   0.0000E+00   0.6445E-02
  0.1650E+00   0.0000E+00   0.6445E-02
  0.1700E+00   0.0000E+00   0.6445E-02
  0.1750E+00   0.0000E+00   0.6445E-02
  0.1800E+00   0.0000E+00   0.6445E-02
  0.1850E+00   0.0000E+00   0.6445E-02
  0.1900E+00   0.0000E+00   0.6445E-02
  0.1950E+00   0.0000E+00   0.6445E-02
  0.2000E+00   0.0000E+00   0.6445E-02
  0.2050E+00   0.0000E+00   0.6445E-02
  0.2100E+00   0.0000E+00   0.6445E-02
  0.2150E+00   0.0000E+00   0.6445E-02
  0.2200E+00   0.0000E+00   0.6445E-02
  0.2250E+00   0.0000E+00   0.6445E-02
  0.2300E+00   0.0000E+00   0.6445E-02
  0.2350E+00   0.0000E+00   0.6445E-02
  0.2400E+00   0.0000E+00   0.6445E-02
  0.2450E+00   0.0000E+00   0.6445E-02
  0.2500E+00   0.0000E+00   0.6445E-02
  0.2550E+00   0.0000E+00   0.6445E-02
  0.2600E+00   0.0000E+00   0.6445E-02
  0.2650E+00   0.0000E+00   0.6445E-02
  0.2700E+00   0.0000E+00   0.6445E-02
  0.2750E+00   0.0000E+00   0.6445E-02
  0.2800E+00   0.0000E+00   0.6445E-02
  0.2850E+00   0.0000E+00   0.6445E-02
  0.2900E+00   0.0000E+00   0.6445E-02
  0.2950E+00   0.0000E+00   0.6445E-02
  0.3000E+00   0.0000E+00   0.6445E-02
  0.3050E+00   0.0000E+00   0.6445E-02
  0.3100E+00   0.0000E+00   0.6445E-02
  0.3150E+00   0.0000E+00   0.6445E-02
  0.3200E+00   0.0000E+00   0.6445E-02
  0.3250E+00   0.0000E+00   0.6445E-02
  0.3300E+00   0.0000E+00   0.6445E-02
  0.3350E+00   0.0000E+00   0.6445E-02
  0.3400E+00   0.0000E+00   0.6445E-02
  0.3450E+00   0.0000E+00   0.6445E-02
  0.3500E+00   0.0000E+00   0.6445E-02
  0.3550E+00   0.0000E+00   0.6445E-02
  0.3600E+00   0.0000E+00   0.6445E-02
  0.3650E+00   0.0000E+00   0.6445E-02
  0.3700E+00   0.0000E+00   0.6445E-02
  0.3750E+00   0.0000E+00   0.6445E-02
  0.3800E+00   0.0000E+00   0.6445E-02
  0.3850E+00   0.0000E+00   0.6445E-02
  0.3900E+00   0.0000E+00   0.6445E-02
  0.3950E+00   0.0000E+00   0.6445E-02
  0.4000E+00   0.0000E+00   0.6445E-02
  0.4050E+00   0.0000E+00   0.6445E-02
  0.4100E+00   0.0000E+00   0.6445E-02
  0.4150E+00   0.0000E+00   0.6445E-02
  0.4200E+00   0.0000E+00   0.6445E-02
  0.4250E+00   0.0000E+00   0.6445E-02
  0.4300E+00   0.0000E+00   0.6445E-02
  0.4350E+00   0.0000E+00   0.6445E-02
  0.4400E+00   0.0000E+00   0.6445E-02
  0.4450E+00   0.0000E+00   0.6445E-02
  0.4500E+00   0.0000E+00   0.6445E-02
  0.4550E+00   0.0000E+00   0.6445E-02
  0.4600E+00   0.0000E+00   0.6445E-02
  0.4650E+00   0.0000E+00   0.6445E-02
  0.4700E+00   0.0000E+00   0.6445E-02
  0.4750E+00   0.0000E+00   0.6445E-02
  0.4800E+00   0.0000E+00   0.6445E-02
  0.4850E+00   0.0000E+00   0.6445E-02
  0.4900E+00   0.0000E+00   0.6445E-02
  0.4950E+00   0.0000E+00   0.6445E-02
  0.5000E+00   0.0000E+00   0.6445E-02
  0.5050E+00   0.0000E+00   0.6445E-02
  0.5100E+00   0.0000E+00   0.6445E-02
  0.5150E+00   0.0000E+00   0.6445E-02
  0.5200E+00   0.0000E+00   0.6445E-02
  0.5250E+00   0.0000E+00   0.6445E-02
  0.5300E+00   0.0000E+00   0.6445E-02
  0.5350E+00   0.0000E+00   0.6445E-02
  0.5400E+00   0.0000E+00   0.6445E-02
  0.5450E+00   0.0000E+00   0.6445E-02
  0.5500E+00   0.0000E+00   0.6445E-02
  0.5550E+00   0.0000E+00   0.6445E-02
  0.5600E+00   0.0000E+00   0.6445E-02
  0.5650E+00   0.0000E+00   0.6445E-02
  0.5700E+00   0.0000E+00   0.6445E-02
  0.5750E+00   0.0000E+00   0.6445E-02
  0.5800E+00   0.0000E+00   0.6445E-02
  0.5850E+00   0.0000E+00   0.6445E-02
  0.5900E+00   0.0000E+00   0.6445E-02
  0.5950E+00   0.0000E+00   0.6445E-02
  0.6000E+00   0.0000E+00   0.6445E-02
  0.6050E+00   0.0000E+00   0.6445E-02
  0.6100E+00   0.0000E+00   0.6445E-02
  0.6150E+00   0.0000E+00   0.6445E-02
  0.6200E+00   0.0000E+00   0.6445E-02
  0.6250E+00   0.0000E+00   0.6445E-02
  0.6300E+00   0.0000E+00   0.6445E-02
  0.6350E+00   0.0000E+00   0.6445E-02
  0.6400E+00   0.0000E+00   0.6445E-02
  0.6450E+00   0.0000E+00   0.6445E-02
  0.6500E+00   0.0000E+00   0.6445E-02
  0.6550E+00   0.0000E+00   0.6445E-02
  0.6600E+00   0.0000E+00   0.6445E-02
  0.6650E+00   0.0000E+00   0.6445E-02
  0.6700E+00   0.0000E+00   0.6445E-02
  0.6750E+00   0.0000E+00   0.6445E-02
  0.6800E+00   0.0000E+00   0.6445E-02
  0.6850E+00   0.0000E+00   0.6445E-02
  0.6900E+00   0.0000E+00   0.6445E-02
  0.6950E+00   0.0000E+00   0.6445E-02
  0.7000E+00   0.0000E+00   0.6445E-02
  0.7050E+00   0.0000E+00   0.6445E-02
  0.7100E+00   0.0000E+00   0.6445E-02
  0.7150E+00   0.0000E+00   0.6445E-02
  0.7200E+00   0.0000E+00   0.6445E-02
  0.7250E+00   0.0000E+00   0.6445E-02
  0.7300E+00   0.0000E+00   0.6445E-02
  0.7350E+00   0.0000E+00   0.6445E-02
  0.7400E+00   0.0000E+00   0.6445E-02
  0.7450E+00   0.0000E+00   0.6445E-02
  0.7500E+00   0.0000E+00   0.6445E-02
  0.7550E+00   0.0000E+00   0.6445E-02
  0.7600E+00   0.0000E+00   0.6445E-02
  0.7650E+00   0.0000E+00   0.6445E-02
  0.7700E+00   0.0000E+00   0.6445E-02
  0.7750E+00   0.0000E+00   0.6445E-02
  0.7800E+00   0.0000E+00   0.6445E-02
  0.7850E+00   0.0000E+00   0.6445E-02
  0.7900E+00   0.0000E+00   0.6445E-02
  0.7950E+00   0.0000E+00   0.6445E-02
  0.8000E+00   0.0000E+00   0.6445E-02
  0.8050E+00   0.0000E+00   0.6445E-02
  0.8100E+00   0.0000E+00   0.6445E-02
  0.8150E+00   0.0000E+00   0.6445E-02
  0.8200E+00   0.0000E+00   0.6445E-02
  0.8250E+00   0.0000E+00   0.6445E-02
  0.8300E+00   0.0000E+00   0.6445E-02
  0.8350E+00   0.0000E+00   0.6445E-02
  0.8400E+00   0.0000E+00   0.6445E-02
  0.8450E+00   0.0000E+00   0.6445E-02
  0.8500E+00   0.0000E+00   0.6445E-02
  0.8550E+00   0.0000E+00   0.6445E-02
  0.8600E+00   0.0000E+00   0.6445E-02
  0.8650E+00   0.0000E+00   0.6445E-02
  0.8700E+00   0.0000E+00   0.6445E-02
  0.8750E+00   0.0000E+00   0.6445E-02
  0.8800E+00   0.0000E+00   0.6445E-02
  0.8850E+00   0.0000E+00   0.6445E-02
  0.8900E+00   0.0000E+00   0.6445E-02
  0.8950E+00   0.0000E+00   0.6445E-02
  0.9000E+00   0.0000E+00   0.6445E-02
  0.9050E+00   0.0000E+00   0.6445E-02
  0.9100E+00   0.0000E+00   0.6445E-02
  0.9150E+00   0.0000E+00   0.6445E-02
  0.9200E+00   0.0000E+00   0.6445E-02
  0.9250E+00   0.0000E+00   0.6445E-02
  0.9300E+00   0.0000E+00   0.6445E-02
  0.9350E+00   0.0000E+00   0.6445E-02
  0.9400E+00   0.0000E+00   0.6445E-02
  0.9450E+00   0.0000E+00   0.6445E-02
  0.9500E+00   0.0000E+00   0.6445E-02
  0.9550E+00   0.0000E+00   0.6445E-02
  0.9600E+00   0.0000E+00   0.6445E-02
  0.9650E+00   0.0000E+00   0.6445E-02
  0.9700E+00   0.0000E+00   0.6445E-02
  0.9750E+00   0.0000E+00   0.6445E-02
  0.9800E+00   0.0000E+00   0.6445E-02
  0.9850E+00   0.0000E+00   0.6445E-02
  0.9900E+00   0.0000E+00   0.6445E-02
  0.9950E+00   0.0000E+00   0.6445E-02
  0.1000E+01   0.0000E+00   0.6445E-02
  0.1005E+01   0.0000E+00   0.6445E-02
  0.1010E+01   0.0000E+00   0.6445E-02
  0.1015E+01   0.0000E+00   0.6445E-02
  0.1020E+01   0.0000E+00   0.6445E-02
  0.1025E+01   0.0000E+00   0.6445E-02
  0.1030E+01   0.0000E+00   0.6445E-02
  0.1035E+01   0.0000E+00   0.6445E-02
  0.1040E+01   0.0000E+00   0.6445E-02
  0.1045E+01   0.0000E+00   0.6445E-02
  0.1050E+01   0.0000E+00   0.6445E-02
  0.1055E+01   0.0000E+00   0.6445E-02
  0.1060E+01   0.0000E+00   0.6445E-02
  0.1065E+01   0.0000E+00   0.6445E-02
  0.1070E+01   0.0000E+00   0.6445E-02
  0.1075E+01   0.0000E+00   0.6445E-02
  0.1080E+01   0.0000E+00   0.6445E-02
  0.1085E+01   0.0000E+00   0.6445E-02
  0.1090E+01   0.0000E+00   0.6445E-02
  0.1095E+01   0.0000E+00   0.6445E-02
  0.1100E+01   0.0000E+00   0.6445E-02
  0.1105E+01   0.0000E+00   0.6445E-02
  0.1110E+01   0.0000E+00   0.6445E-02
  0.1115E+01   0.0000E+00   0.6445E-02
  0.1120E+01   0.0000E+00   0.6445E-02
  0.1125E+01   0.0000E+00   0.6445E-02
  0.1130E+01   0.0000E+00   0.6445E-02
  0.1135E+01   0.0000E+00   0.6445E-02
  0.1140E+01   0.0000E+00   0.6445E-02
  0.1145E+01   0.0000E+00   0.6445E-02
  0.1150E+01   0.0000E+00   0.6445E-02
  0.1155E+01   0.0000E+00   0.6445E-02
  0.1160E+01   0.0000E+00   0.6445E-02
  0.1165E+01   0.0000E+00   0.6445E-02
  0.1170E+01   0.0000E+00   0.6445E-02
  0.1175E+01   0.0000E+00   0.6445E-02
  0.1180E+01   0.0000E+00   0.6445E-02
  0.1185E+01   0.0000E+00   0.6445E-02
  0.1190E+01   0.0000E+00   0.6445E-02
  0.1195E+01   0.0000E+00   0.6445E-02
  0.1200E+01   0.0000E+00   0.6445E-02
  0.1205E+01   0.0000E+00   0.6445E-02
  0.1210E+01   0.0000E+00   0.6445E-02
  0.1215E+01   0.0000E+00   0.6445E-02
  0.1220E+01   0.0000E+00   0.6445E-02
  0.1225E+01   0.0000E+00   0.6445E-02
  0.1230E+01   0.0000E+00   0.6445E-02
  0.1235E+01   0.0000E+00   0.6445E-02
  0.1240E+01   0.0000E+00   0.6445E-02
  0.1245E+01   0.0000E+00   0.6445E-02
  0.1250E+01   0.0000E+00   0.6445E-02
  0.1255E+01   0.0000E+00   0.6445E-02
  0.1260E+01   0.0000E+00   0.6445E-02
  0.1265E+01   0.0000E+00   0.6445E-02
  0.1270E+01   0.0000E+00   0.6445E-02
  0.1275E+01   0.0000E+00   0.6445E-02
  0.1280E+01   0.0000E+00   0.6445E-02
  0.1285E+01   0.0000E+00   0.6445E-02
  0.1290E+01   0.0000E+00   0.6445E-02
  0.1295E+01   0.0000E+00   0.6445E-02
  0.1300E+01   0.0000E+00   0.6445E-02
  0.1305E+01   0.0000E+00   0.6445E-02
  0.1310E+01   0.0000E+00   0.6445E-02
