        vtot      p(vtot)
  0.3850E+00   0.1382E+01
  0.4573E+00   0.2074E+01
  0.5296E+00   0.2074E+01
  0.6020E+00   0.3456E+01
  0.6743E+00   0.2765E+01
  0.7467E+00   0.4147E+01
  0.8190E+00   0.2765E+01
  0.8913E+00   0.2765E+01
  0.9637E+00   0.6221E+01
  0.1036E+01   0.1106E+02
  0.1108E+01   0.6912E+01
  0.1181E+01   0.6912E+01
  0.1253E+01   0.6912E+01
  0.1325E+01   0.8986E+01
  0.1398E+01   0.4839E+01
  0.1470E+01   0.6221E+01
  0.1542E+01   0.4839E+01
  0.1615E+01   0.6221E+01
  0.1687E+01   0.5530E+01
  0.1759E+01   0.1382E+02
  0.1832E+01   0.6221E+01
  0.1904E+01   0.7604E+01
  0.1976E+01   0.8986E+01
  0.2049E+01   0.6221E+01
  0.2121E+01   0.4147E+01
  0.2193E+01   0.2765E+01
  0.2266E+01   0.6912E+01
  0.2338E+01   0.2074E+01
  0.2410E+01   0.6912E+00
  0.2483E+01   0.2765E+01
  0.2555E+01   0.6912E+00
  0.2627E+01   0.2074E+01
  0.2700E+01   0.1382E+01
  0.2772E+01   0.2074E+01
  0.2844E+01   0.2074E+01
  0.2917E+01   0.2074E+01
  0.2989E+01   0.2074E+01
  0.3061E+01   0.6912E+00
  0.3134E+01   0.1382E+01
  0.3206E+01   0.6912E+00
  0.3278E+01   0.6912E+00
  0.3351E+01   0.6912E+00
  0.3423E+01   0.0000E+00
  0.3495E+01   0.0000E+00
  0.3568E+01   0.6912E+00
  0.3640E+01   0.0000E+00
  0.3712E+01   0.6912E+00
  0.3785E+01   0.0000E+00
  0.3857E+01   0.0000E+00
  0.3929E+01   0.6912E+00
