         rij       g(rij)
  0.5602E-02   0.0000E+00
  0.9336E-02   0.0000E+00
  0.1307E-01   0.0000E+00
  0.1681E-01   0.0000E+00
  0.2054E-01   0.0000E+00
  0.2427E-01   0.0000E+00
  0.2801E-01   0.0000E+00
  0.3174E-01   0.0000E+00
  0.3548E-01   0.0000E+00
  0.3921E-01   0.0000E+00
  0.4295E-01   0.0000E+00
  0.4668E-01   0.0000E+00
  0.5042E-01   0.0000E+00
  0.5415E-01   0.0000E+00
  0.5788E-01   0.0000E+00
  0.6162E-01   0.0000E+00
  0.6535E-01   0.0000E+00
  0.6909E-01   0.0000E+00
  0.7282E-01   0.0000E+00
  0.7656E-01   0.0000E+00
  0.8029E-01   0.0000E+00
  0.8403E-01   0.0000E+00
  0.8776E-01   0.0000E+00
  0.9150E-01   0.0000E+00
  0.9523E-01   0.0000E+00
  0.9896E-01   0.0000E+00
  0.1027E+00   0.0000E+00
  0.1064E+00   0.0000E+00
  0.1102E+00   0.0000E+00
  0.1139E+00   0.0000E+00
  0.1176E+00   0.0000E+00
  0.1214E+00   0.0000E+00
  0.1251E+00   0.0000E+00
  0.1288E+00   0.0000E+00
  0.1326E+00   0.0000E+00
  0.1363E+00   0.0000E+00
  0.1400E+00   0.0000E+00
  0.1438E+00   0.0000E+00
  0.1475E+00   0.0000E+00
  0.1512E+00   0.0000E+00
  0.1550E+00   0.0000E+00
  0.1587E+00   0.0000E+00
  0.1625E+00   0.0000E+00
  0.1662E+00   0.0000E+00
  0.1699E+00   0.0000E+00
  0.1737E+00   0.0000E+00
  0.1774E+00   0.0000E+00
  0.1811E+00   0.0000E+00
  0.1849E+00   0.0000E+00
  0.1886E+00   0.0000E+00
  0.1923E+00   0.0000E+00
  0.1961E+00   0.0000E+00
  0.1998E+00   0.0000E+00
  0.2035E+00   0.0000E+00
  0.2073E+00   0.0000E+00
  0.2110E+00   0.0000E+00
  0.2147E+00   0.0000E+00
  0.2185E+00   0.0000E+00
  0.2222E+00   0.0000E+00
  0.2259E+00   0.0000E+00
  0.2297E+00   0.0000E+00
  0.2334E+00   0.0000E+00
  0.2371E+00   0.0000E+00
  0.2409E+00   0.0000E+00
  0.2446E+00   0.0000E+00
  0.2483E+00   0.0000E+00
  0.2521E+00   0.0000E+00
  0.2558E+00   0.0000E+00
  0.2595E+00   0.0000E+00
  0.2633E+00   0.0000E+00
  0.2670E+00   0.0000E+00
  0.2708E+00   0.0000E+00
  0.2745E+00   0.0000E+00
  0.2782E+00   0.0000E+00
  0.2820E+00   0.0000E+00
  0.2857E+00   0.0000E+00
  0.2894E+00   0.0000E+00
  0.2932E+00   0.0000E+00
  0.2969E+00   0.0000E+00
  0.3006E+00   0.0000E+00
  0.3044E+00   0.0000E+00
  0.3081E+00   0.0000E+00
  0.3118E+00   0.0000E+00
  0.3156E+00   0.0000E+00
  0.3193E+00   0.0000E+00
  0.3230E+00   0.0000E+00
  0.3268E+00   0.0000E+00
  0.3305E+00   0.0000E+00
  0.3342E+00   0.0000E+00
  0.3380E+00   0.0000E+00
  0.3417E+00   0.0000E+00
  0.3454E+00   0.0000E+00
  0.3492E+00   0.0000E+00
  0.3529E+00   0.0000E+00
  0.3566E+00   0.0000E+00
  0.3604E+00   0.0000E+00
  0.3641E+00   0.0000E+00
  0.3678E+00   0.0000E+00
  0.3716E+00   0.0000E+00
  0.3753E+00   0.0000E+00
  0.3791E+00   0.0000E+00
  0.3828E+00   0.0000E+00
  0.3865E+00   0.0000E+00
  0.3903E+00   0.0000E+00
  0.3940E+00   0.0000E+00
  0.3977E+00   0.0000E+00
  0.4015E+00   0.0000E+00
  0.4052E+00   0.0000E+00
  0.4089E+00   0.0000E+00
  0.4127E+00   0.0000E+00
  0.4164E+00   0.0000E+00
  0.4201E+00   0.0000E+00
  0.4239E+00   0.0000E+00
  0.4276E+00   0.0000E+00
  0.4313E+00   0.0000E+00
  0.4351E+00   0.0000E+00
  0.4388E+00   0.0000E+00
  0.4425E+00   0.0000E+00
  0.4463E+00   0.0000E+00
  0.4500E+00   0.0000E+00
  0.4537E+00   0.0000E+00
  0.4575E+00   0.0000E+00
  0.4612E+00   0.0000E+00
  0.4649E+00   0.0000E+00
  0.4687E+00   0.0000E+00
  0.4724E+00   0.0000E+00
  0.4761E+00   0.0000E+00
  0.4799E+00   0.0000E+00
  0.4836E+00   0.0000E+00
  0.4874E+00   0.0000E+00
  0.4911E+00   0.0000E+00
  0.4948E+00   0.0000E+00
  0.4986E+00   0.0000E+00
  0.5023E+00   0.0000E+00
  0.5060E+00   0.0000E+00
  0.5098E+00   0.0000E+00
  0.5135E+00   0.0000E+00
  0.5172E+00   0.0000E+00
  0.5210E+00   0.0000E+00
  0.5247E+00   0.0000E+00
  0.5284E+00   0.0000E+00
  0.5322E+00   0.0000E+00
  0.5359E+00   0.0000E+00
  0.5396E+00   0.0000E+00
  0.5434E+00   0.0000E+00
  0.5471E+00   0.0000E+00
  0.5508E+00   0.0000E+00
  0.5546E+00   0.0000E+00
  0.5583E+00   0.0000E+00
  0.5620E+00   0.0000E+00
  0.5658E+00   0.0000E+00
  0.5695E+00   0.0000E+00
  0.5732E+00   0.0000E+00
  0.5770E+00   0.0000E+00
  0.5807E+00   0.0000E+00
  0.5844E+00   0.0000E+00
  0.5882E+00   0.0000E+00
  0.5919E+00   0.0000E+00
  0.5957E+00   0.0000E+00
  0.5994E+00   0.0000E+00
  0.6031E+00   0.0000E+00
  0.6069E+00   0.0000E+00
  0.6106E+00   0.0000E+00
  0.6143E+00   0.0000E+00
  0.6181E+00   0.0000E+00
  0.6218E+00   0.0000E+00
  0.6255E+00   0.0000E+00
  0.6293E+00   0.0000E+00
  0.6330E+00   0.0000E+00
  0.6367E+00   0.0000E+00
  0.6405E+00   0.0000E+00
  0.6442E+00   0.0000E+00
  0.6479E+00   0.0000E+00
  0.6517E+00   0.0000E+00
  0.6554E+00   0.0000E+00
  0.6591E+00   0.0000E+00
  0.6629E+00   0.0000E+00
  0.6666E+00   0.0000E+00
  0.6703E+00   0.0000E+00
  0.6741E+00   0.0000E+00
  0.6778E+00   0.0000E+00
  0.6815E+00   0.0000E+00
  0.6853E+00   0.0000E+00
  0.6890E+00   0.0000E+00
  0.6928E+00   0.0000E+00
  0.6965E+00   0.0000E+00
  0.7002E+00   0.0000E+00
  0.7040E+00   0.0000E+00
  0.7077E+00   0.0000E+00
  0.7114E+00   0.0000E+00
  0.7152E+00   0.0000E+00
  0.7189E+00   0.0000E+00
  0.7226E+00   0.0000E+00
  0.7264E+00   0.0000E+00
  0.7301E+00   0.0000E+00
  0.7338E+00   0.0000E+00
  0.7376E+00   0.0000E+00
  0.7413E+00   0.0000E+00
  0.7450E+00   0.0000E+00
  0.7488E+00   0.0000E+00
  0.7525E+00   0.0000E+00
  0.7562E+00   0.0000E+00
  0.7600E+00   0.0000E+00
  0.7637E+00   0.0000E+00
  0.7674E+00   0.0000E+00
  0.7712E+00   0.0000E+00
  0.7749E+00   0.0000E+00
  0.7786E+00   0.0000E+00
  0.7824E+00   0.0000E+00
  0.7861E+00   0.0000E+00
  0.7898E+00   0.0000E+00
  0.7936E+00   0.0000E+00
  0.7973E+00   0.0000E+00
  0.8011E+00   0.0000E+00
  0.8048E+00   0.0000E+00
