     density            D        error          msd         error
  0.8000E+00   0.7228E+00   0.4613E-04   0.7866E+01    0.1811E-02
  0.8444E+00   0.1099E+01   0.1152E-03   0.1188E+02    0.4183E-02
  0.8889E+00   0.1466E+01   0.2193E-03   0.1572E+02    0.7235E-02
  0.9333E+00   0.2341E+01   0.1263E-02   0.2104E+02    0.6335E-02
  0.9778E+00   0.3078E+01   0.2799E-02   0.2584E+02    0.6848E-02
  0.1022E+01   0.3825E+01   0.5150E-02   0.3057E+02    0.7406E-02
  0.1067E+01   0.4557E+01   0.8199E-02   0.3515E+02    0.8030E-02
  0.1111E+01   0.5300E+01   0.1232E-01   0.3964E+02    0.8595E-02
  0.1156E+01   0.6042E+01   0.1751E-01   0.4403E+02    0.9144E-02
  0.1200E+01   0.6776E+01   0.2370E-01   0.4832E+02    0.9708E-02
