     density        U_med        err_U    press_med    err_press
  0.2000E+00  -0.1576E+01   0.2952E-02  -0.1722E+00   0.2426E-02
  0.2447E+00  -0.2056E+01   0.6600E-02  -0.1037E+00   0.9228E-02
  0.2895E+00  -0.2534E+01   0.6913E-02  -0.3471E+00   0.5327E-02
  0.3342E+00  -0.2554E+01   0.5482E-02  -0.4000E+00   0.8790E-02
  0.3789E+00  -0.3310E+01   0.7380E-02  -0.4100E+00   0.1377E-01
  0.4237E+00  -0.3125E+01   0.4751E-02  -0.6584E+00   0.1187E-01
  0.4684E+00  -0.3188E+01   0.5788E-02  -0.6559E+00   0.1597E-01
  0.5132E+00  -0.3501E+01   0.5892E-02  -0.7432E+00   0.1981E-01
  0.5579E+00  -0.3994E+01   0.8324E-02  -0.4278E+00   0.2044E-01
  0.6026E+00  -0.4202E+01   0.8608E-02  -0.3583E+00   0.3261E-01
  0.6474E+00  -0.4201E+01   0.8657E-02  -0.8927E+00   0.3341E-01
  0.6921E+00  -0.4369E+01   0.8676E-02  -0.3796E+00   0.3712E-01
  0.7368E+00  -0.4452E+01   0.3142E-01   0.6560E+00   0.1217E+00
  0.7816E+00  -0.4582E+01   0.2810E-01   0.1115E+01   0.1162E+00
  0.8263E+00  -0.4790E+01   0.2996E-01   0.2042E+01   0.1306E+00
  0.8711E+00  -0.4830E+01   0.3559E-01   0.3774E+01   0.1625E+00
  0.9158E+00  -0.4966E+01   0.3702E-01   0.4985E+01   0.1745E+00
  0.9605E+00  -0.5028E+01   0.3939E-01   0.6979E+01   0.1911E+00
  0.1005E+01  -0.4838E+01   0.4900E-01   0.1048E+02   0.2457E+00
  0.1050E+01  -0.6029E+01   0.4472E-01   0.6497E+01   0.2232E+00
