        time     pot_ergy        press
  0.1000E-02  -0.4981E+01   0.1356E-01
  0.2000E-02  -0.4963E+01   0.1113E+00
  0.3000E-02  -0.5000E+01  -0.6010E-01
  0.4000E-02  -0.5032E+01  -0.2153E+00
  0.5000E-02  -0.5040E+01  -0.2689E+00
  0.6000E-02  -0.5072E+01  -0.4211E+00
  0.7000E-02  -0.5075E+01  -0.4347E+00
  0.8000E-02  -0.5089E+01  -0.5064E+00
  0.9000E-02  -0.5100E+01  -0.5683E+00
  0.1000E-01  -0.5108E+01  -0.6154E+00
  0.1100E-01  -0.5119E+01  -0.6717E+00
  0.1200E-01  -0.5125E+01  -0.7139E+00
  0.1300E-01  -0.5110E+01  -0.6663E+00
  0.1400E-01  -0.5093E+01  -0.6034E+00
  0.1500E-01  -0.5088E+01  -0.5858E+00
  0.1600E-01  -0.5086E+01  -0.5813E+00
  0.1700E-01  -0.5092E+01  -0.6128E+00
  0.1800E-01  -0.5081E+01  -0.5636E+00
  0.1900E-01  -0.5076E+01  -0.5401E+00
  0.2000E-01  -0.5075E+01  -0.5323E+00
  0.2100E-01  -0.5073E+01  -0.5218E+00
  0.2200E-01  -0.5073E+01  -0.5198E+00
  0.2300E-01  -0.5073E+01  -0.5199E+00
  0.2400E-01  -0.5071E+01  -0.5046E+00
  0.2500E-01  -0.5071E+01  -0.5039E+00
  0.2600E-01  -0.5069E+01  -0.4905E+00
  0.2700E-01  -0.5065E+01  -0.4718E+00
  0.2800E-01  -0.5061E+01  -0.4472E+00
  0.2900E-01  -0.5050E+01  -0.3917E+00
  0.3000E-01  -0.5036E+01  -0.3222E+00
  0.3100E-01  -0.5018E+01  -0.2338E+00
  0.3200E-01  -0.5006E+01  -0.1688E+00
  0.3300E-01  -0.4998E+01  -0.1246E+00
  0.3400E-01  -0.4992E+01  -0.8850E-01
  0.3500E-01  -0.4990E+01  -0.7413E-01
  0.3600E-01  -0.4987E+01  -0.5454E-01
  0.3700E-01  -0.4986E+01  -0.4367E-01
  0.3800E-01  -0.4986E+01  -0.3616E-01
