        time          msd
  0.1000E-02   0.0000E+00
  0.2000E-02   0.1167E-02
  0.3000E-02   0.2363E-02
  0.4000E-02   0.3665E-02
  0.5000E-02   0.5080E-02
  0.6000E-02   0.6370E-02
  0.7000E-02   0.7709E-02
  0.8000E-02   0.9027E-02
  0.9000E-02   0.1034E-01
  0.1000E-01   0.1159E-01
  0.1100E-01   0.1281E-01
  0.1200E-01   0.1406E-01
  0.1300E-01   0.1532E-01
  0.1400E-01   0.1662E-01
  0.1500E-01   0.1802E-01
  0.1600E-01   0.1939E-01
  0.1700E-01   0.2079E-01
  0.1800E-01   0.2218E-01
  0.1900E-01   0.2357E-01
  0.2000E-01   0.2495E-01
  0.2100E-01   0.2630E-01
  0.2200E-01   0.2764E-01
  0.2300E-01   0.2896E-01
  0.2400E-01   0.3028E-01
  0.2500E-01   0.3167E-01
  0.2600E-01   0.3304E-01
  0.2700E-01   0.3445E-01
  0.2800E-01   0.3584E-01
  0.2900E-01   0.3719E-01
  0.3000E-01   0.3854E-01
  0.3100E-01   0.3987E-01
  0.3200E-01   0.4120E-01
  0.3300E-01   0.4252E-01
  0.3400E-01   0.4384E-01
  0.3500E-01   0.4520E-01
  0.3600E-01   0.4654E-01
  0.3700E-01   0.4792E-01
  0.3800E-01   0.4929E-01
  0.3900E-01   0.5063E-01
  0.4000E-01   0.5197E-01
  0.4100E-01   0.5332E-01
  0.4200E-01   0.5465E-01
  0.4300E-01   0.5597E-01
  0.4400E-01   0.5732E-01
  0.4500E-01   0.5867E-01
  0.4600E-01   0.6001E-01
  0.4700E-01   0.6137E-01
  0.4800E-01   0.6273E-01
  0.4900E-01   0.6407E-01
  0.5000E-01   0.6539E-01
  0.5100E-01   0.6672E-01
  0.5200E-01   0.6803E-01
  0.5300E-01   0.6934E-01
  0.5400E-01   0.7066E-01
  0.5500E-01   0.7198E-01
  0.5600E-01   0.7330E-01
  0.5700E-01   0.7464E-01
  0.5800E-01   0.7597E-01
  0.5900E-01   0.7728E-01
  0.6000E-01   0.7858E-01
  0.6100E-01   0.7988E-01
  0.6200E-01   0.8116E-01
  0.6300E-01   0.8245E-01
  0.6400E-01   0.8373E-01
  0.6500E-01   0.8504E-01
  0.6600E-01   0.8634E-01
  0.6700E-01   0.8765E-01
  0.6800E-01   0.8896E-01
  0.6900E-01   0.9025E-01
  0.7000E-01   0.9153E-01
  0.7100E-01   0.9281E-01
  0.7200E-01   0.9407E-01
  0.7300E-01   0.9532E-01
  0.7400E-01   0.9656E-01
  0.7500E-01   0.9782E-01
  0.7600E-01   0.9906E-01
  0.7700E-01   0.1003E+00
  0.7800E-01   0.1016E+00
  0.7900E-01   0.1028E+00
  0.8000E-01   0.1040E+00
  0.8100E-01   0.1053E+00
  0.8200E-01   0.1065E+00
  0.8300E-01   0.1077E+00
  0.8400E-01   0.1089E+00
  0.8500E-01   0.1101E+00
  0.8600E-01   0.1113E+00
  0.8700E-01   0.1126E+00
  0.8800E-01   0.1138E+00
  0.8900E-01   0.1150E+00
  0.9000E-01   0.1162E+00
  0.9100E-01   0.1174E+00
  0.9200E-01   0.1186E+00
  0.9300E-01   0.1198E+00
  0.9400E-01   0.1210E+00
  0.9500E-01   0.1222E+00
  0.9600E-01   0.1235E+00
  0.9700E-01   0.1247E+00
  0.9800E-01   0.1259E+00
  0.9900E-01   0.1271E+00
  0.1000E+00   0.1282E+00
