         rij       g(rij)
  0.6412E-01   0.0000E+00
  0.1069E+00   0.0000E+00
  0.1496E+00   0.0000E+00
  0.1924E+00   0.0000E+00
  0.2351E+00   0.0000E+00
  0.2779E+00   0.0000E+00
  0.3206E+00   0.0000E+00
  0.3634E+00   0.0000E+00
  0.4061E+00   0.0000E+00
  0.4489E+00   0.0000E+00
  0.4916E+00   0.0000E+00
  0.5344E+00   0.0000E+00
  0.5771E+00   0.0000E+00
  0.6199E+00   0.0000E+00
  0.6626E+00   0.0000E+00
  0.7054E+00   0.0000E+00
  0.7481E+00   0.0000E+00
  0.7909E+00   0.0000E+00
  0.8336E+00   0.0000E+00
  0.8764E+00   0.0000E+00
  0.9191E+00   0.1763E+00
  0.9619E+00   0.5432E+00
  0.1005E+01   0.1743E+01
  0.1047E+01   0.3020E+01
  0.1090E+01   0.3273E+01
  0.1133E+01   0.2335E+01
  0.1176E+01   0.1508E+01
  0.1218E+01   0.1549E+01
  0.1261E+01   0.9948E+00
  0.1304E+01   0.9471E+00
  0.1347E+01   0.8263E+00
  0.1389E+01   0.6702E+00
  0.1432E+01   0.7533E+00
  0.1475E+01   0.7616E+00
  0.1518E+01   0.7072E+00
  0.1560E+01   0.6728E+00
  0.1603E+01   0.7279E+00
  0.1646E+01   0.7593E+00
  0.1689E+01   0.8258E+00
  0.1731E+01   0.8414E+00
  0.1774E+01   0.8812E+00
  0.1817E+01   0.9671E+00
  0.1860E+01   0.1095E+01
  0.1902E+01   0.1183E+01
  0.1945E+01   0.1173E+01
  0.1988E+01   0.1286E+01
  0.2031E+01   0.1217E+01
  0.2073E+01   0.1247E+01
  0.2116E+01   0.1203E+01
  0.2159E+01   0.1126E+01
  0.2202E+01   0.1070E+01
  0.2244E+01   0.9793E+00
  0.2287E+01   0.9430E+00
  0.2330E+01   0.9636E+00
  0.2373E+01   0.9011E+00
  0.2415E+01   0.9508E+00
  0.2458E+01   0.9211E+00
  0.2501E+01   0.1010E+01
  0.2544E+01   0.8286E+00
  0.2586E+01   0.9851E+00
  0.2629E+01   0.9601E+00
  0.2672E+01   0.9778E+00
  0.2715E+01   0.9435E+00
  0.2757E+01   0.1034E+01
  0.2800E+01   0.1055E+01
  0.2843E+01   0.1110E+01
  0.2886E+01   0.1025E+01
  0.2928E+01   0.1095E+01
  0.2971E+01   0.1094E+01
  0.3014E+01   0.1033E+01
  0.3057E+01   0.1028E+01
  0.3099E+01   0.9709E+00
  0.3142E+01   0.1041E+01
  0.3185E+01   0.9901E+00
  0.3228E+01   0.9801E+00
  0.3270E+01   0.1014E+01
  0.3313E+01   0.9361E+00
  0.3356E+01   0.9893E+00
  0.3399E+01   0.9412E+00
  0.3441E+01   0.1017E+01
  0.3484E+01   0.9968E+00
  0.3527E+01   0.1010E+01
  0.3570E+01   0.9817E+00
  0.3612E+01   0.1021E+01
  0.3655E+01   0.1038E+01
  0.3698E+01   0.9761E+00
  0.3741E+01   0.9958E+00
  0.3783E+01   0.1013E+01
  0.3826E+01   0.1059E+01
  0.3869E+01   0.9831E+00
  0.3912E+01   0.1016E+01
  0.3954E+01   0.1033E+01
  0.3997E+01   0.9939E+00
  0.4040E+01   0.1000E+01
  0.4083E+01   0.9929E+00
  0.4125E+01   0.9790E+00
  0.4168E+01   0.9906E+00
  0.4211E+01   0.9774E+00
  0.4254E+01   0.9877E+00
  0.4296E+01   0.0000E+00
