        time        U_med        var_U       Ec_med       var_Ec     Etot_med     var_Etot    press_med    var_press        T_med        var_T
  0.5000E-02  -0.4585E+01  -0.7105E-14   0.1508E+01   0.0000E+00  -0.3077E+01   0.0000E+00   0.1527E+01   0.0000E+00   0.1005E+01   0.0000E+00
  0.1000E-01  -0.4589E+01   0.1616E-04   0.1512E+01   0.1578E-04  -0.3077E+01   0.2171E-08   0.1511E+01   0.2675E-03   0.1008E+01   0.7015E-05
  0.1500E-01  -0.4593E+01   0.4664E-04   0.1516E+01   0.4579E-04  -0.3077E+01   0.4005E-08   0.1493E+01   0.8021E-03   0.1011E+01   0.2035E-04
  0.2000E-01  -0.4597E+01   0.8711E-04   0.1520E+01   0.8585E-04  -0.3077E+01   0.4902E-08   0.1475E+01   0.1578E-02   0.1013E+01   0.3815E-04
  0.2500E-01  -0.4601E+01   0.1309E-03   0.1524E+01   0.1293E-03  -0.3077E+01   0.4974E-08   0.1458E+01   0.2506E-02   0.1016E+01   0.5748E-04
  0.3000E-01  -0.4605E+01   0.1714E-03   0.1527E+01   0.1697E-03  -0.3077E+01   0.4624E-08   0.1441E+01   0.3480E-02   0.1018E+01   0.7544E-04
  0.3500E-01  -0.4608E+01   0.2039E-03   0.1531E+01   0.2024E-03  -0.3077E+01   0.4095E-08   0.1426E+01   0.4388E-02   0.1020E+01   0.8995E-04
  0.4000E-01  -0.4610E+01   0.2264E-03   0.1533E+01   0.2251E-03  -0.3077E+01   0.3583E-08   0.1412E+01   0.5192E-02   0.1022E+01   0.1000E-03
  0.4500E-01  -0.4612E+01   0.2392E-03   0.1535E+01   0.2382E-03  -0.3077E+01   0.3421E-08   0.1399E+01   0.5883E-02   0.1024E+01   0.1059E-03
  0.5000E-01  -0.4614E+01   0.2450E-03   0.1537E+01   0.2444E-03  -0.3077E+01   0.4147E-08   0.1388E+01   0.6482E-02   0.1025E+01   0.1086E-03
  0.5500E-01  -0.4616E+01   0.2478E-03   0.1539E+01   0.2477E-03  -0.3077E+01   0.5967E-08   0.1377E+01   0.7051E-02   0.1026E+01   0.1101E-03
  0.6000E-01  -0.4617E+01   0.2519E-03   0.1540E+01   0.2524E-03  -0.3077E+01   0.7927E-08   0.1366E+01   0.7712E-02   0.1027E+01   0.1122E-03
  0.6500E-01  -0.4619E+01   0.2616E-03   0.1542E+01   0.2625E-03  -0.3077E+01   0.9029E-08   0.1355E+01   0.8572E-02   0.1028E+01   0.1167E-03
  0.7000E-01  -0.4621E+01   0.2802E-03   0.1544E+01   0.2813E-03  -0.3077E+01   0.9032E-08   0.1344E+01   0.9693E-02   0.1029E+01   0.1250E-03
  0.7500E-01  -0.4622E+01   0.3090E-03   0.1545E+01   0.3102E-03  -0.3077E+01   0.8598E-08   0.1331E+01   0.1112E-01   0.1030E+01   0.1379E-03
  0.8000E-01  -0.4624E+01   0.3471E-03   0.1547E+01   0.3483E-03  -0.3077E+01   0.8100E-08   0.1319E+01   0.1279E-01   0.1032E+01   0.1548E-03
  0.8500E-01  -0.4626E+01   0.3922E-03   0.1549E+01   0.3934E-03  -0.3077E+01   0.7655E-08   0.1306E+01   0.1464E-01   0.1033E+01   0.1749E-03
  0.9000E-01  -0.4628E+01   0.4417E-03   0.1551E+01   0.4430E-03  -0.3077E+01   0.7253E-08   0.1293E+01   0.1661E-01   0.1034E+01   0.1969E-03
  0.9500E-01  -0.4631E+01   0.4934E-03   0.1554E+01   0.4947E-03  -0.3077E+01   0.6885E-08   0.1281E+01   0.1859E-01   0.1036E+01   0.2199E-03
  0.1000E+00  -0.4633E+01   0.5448E-03   0.1556E+01   0.5461E-03  -0.3077E+01   0.6544E-08   0.1268E+01   0.2052E-01   0.1037E+01   0.2427E-03
  0.1050E+00  -0.4634E+01   0.5938E-03   0.1557E+01   0.5949E-03  -0.3077E+01   0.6233E-08   0.1257E+01   0.2230E-01   0.1038E+01   0.2644E-03
