     density      msd_med      err_msd     D/D0_med     err_D/D0
  0.2000E+00   0.6121E+00   0.3328E-01   0.4982E+02   0.6521E+00
  0.2447E+00   0.1029E+01   0.5912E-01   0.8188E+02   0.9959E+00
  0.2895E+00   0.1556E+01   0.9226E-01   0.1217E+03   0.1546E+01
  0.3342E+00   0.1728E+01   0.9731E-01   0.1391E+03   0.1565E+01
  0.3789E+00   0.2582E+02   0.7658E+00   0.2899E+04   0.1823E+03
  0.4237E+00   0.2673E+02   0.8185E+00   0.2964E+04   0.1811E+03
  0.4684E+00   0.2672E+02   0.8129E+00   0.2968E+04   0.1821E+03
  0.5132E+00   0.3214E+02   0.9119E+00   0.3662E+04   0.2345E+03
  0.5579E+00   0.3125E+02   0.9337E+00   0.3496E+04   0.2160E+03
  0.6026E+00   0.3183E+02   0.9687E+00   0.3537E+04   0.2153E+03
  0.6474E+00   0.3434E+02   0.1040E+01   0.3816E+04   0.2300E+03
  0.6921E+00   0.4164E+02   0.1269E+01   0.4635E+04   0.2822E+03
  0.7368E+00   0.4237E+02   0.1316E+01   0.4686E+04   0.2812E+03
  0.7816E+00   0.4250E+02   0.1319E+01   0.4700E+04   0.2818E+03
  0.8263E+00   0.4335E+02   0.1329E+01   0.4832E+04   0.2986E+03
  0.8711E+00   0.4647E+02   0.1477E+01   0.5133E+04   0.3140E+03
  0.9158E+00   0.5935E+02   0.2160E+01   0.6271E+04   0.3497E+03
  0.9605E+00   0.6490E+02   0.2469E+01   0.6750E+04   0.3608E+03
  0.1005E+01   0.7189E+02   0.2815E+01   0.7377E+04   0.3749E+03
  0.1050E+01   0.7878E+02   0.3117E+01   0.8026E+04   0.3972E+03
