        time          msd
  0.1000E-02   0.0000E+00
  0.2000E-02   0.1151E-02
  0.3000E-02   0.2181E-02
  0.4000E-02   0.3260E-02
  0.5000E-02   0.4400E-02
  0.6000E-02   0.5537E-02
  0.7000E-02   0.2248E-01
  0.8000E-02   0.3560E-01
  0.9000E-02   0.4605E-01
  0.1000E-01   0.5458E-01
  0.1100E-01   0.6181E-01
  0.1200E-01   0.6804E-01
  0.1300E-01   0.7347E-01
  0.1400E-01   0.7831E-01
  0.1500E-01   0.8262E-01
  0.1600E-01   0.8646E-01
  0.1700E-01   0.9662E-01
  0.1800E-01   0.1059E+00
  0.1900E-01   0.1143E+00
  0.2000E-01   0.1220E+00
  0.2100E-01   0.1290E+00
  0.2200E-01   0.1355E+00
  0.2300E-01   0.1415E+00
  0.2400E-01   0.1471E+00
  0.2500E-01   0.1524E+00
  0.2600E-01   0.1573E+00
  0.2700E-01   0.1661E+00
  0.2800E-01   0.1745E+00
  0.2900E-01   0.1824E+00
  0.3000E-01   0.1899E+00
  0.3100E-01   0.1970E+00
  0.3200E-01   0.2037E+00
  0.3300E-01   0.2101E+00
  0.3400E-01   0.2163E+00
  0.3500E-01   0.2222E+00
  0.3600E-01   0.2278E+00
  0.3700E-01   0.2362E+00
  0.3800E-01   0.2443E+00
  0.3900E-01   0.2522E+00
  0.4000E-01   0.2597E+00
  0.4100E-01   0.2670E+00
  0.4200E-01   0.2741E+00
  0.4300E-01   0.2809E+00
  0.4400E-01   0.2874E+00
  0.4500E-01   0.2938E+00
  0.4600E-01   0.3000E+00
  0.4700E-01   0.3082E+00
  0.4800E-01   0.3163E+00
  0.4900E-01   0.3241E+00
  0.5000E-01   0.3317E+00
  0.5100E-01   0.3391E+00
  0.5200E-01   0.3463E+00
  0.5300E-01   0.3532E+00
  0.5400E-01   0.3600E+00
  0.5500E-01   0.3666E+00
  0.5600E-01   0.3730E+00
  0.5700E-01   0.3810E+00
  0.5800E-01   0.3889E+00
  0.5900E-01   0.3967E+00
  0.6000E-01   0.4042E+00
  0.6100E-01   0.4116E+00
  0.6200E-01   0.4188E+00
  0.6300E-01   0.4258E+00
  0.6400E-01   0.4327E+00
  0.6500E-01   0.4394E+00
  0.6600E-01   0.4460E+00
  0.6700E-01   0.4540E+00
  0.6800E-01   0.4618E+00
  0.6900E-01   0.4695E+00
  0.7000E-01   0.4770E+00
  0.7100E-01   0.4844E+00
  0.7200E-01   0.4917E+00
  0.7300E-01   0.4988E+00
  0.7400E-01   0.5057E+00
  0.7500E-01   0.5126E+00
  0.7600E-01   0.5193E+00
  0.7700E-01   0.5272E+00
  0.7800E-01   0.5350E+00
  0.7900E-01   0.5426E+00
  0.8000E-01   0.5501E+00
  0.8100E-01   0.5575E+00
  0.8200E-01   0.5647E+00
  0.8300E-01   0.5719E+00
  0.8400E-01   0.5789E+00
  0.8500E-01   0.5858E+00
  0.8600E-01   0.5926E+00
  0.8700E-01   0.6004E+00
  0.8800E-01   0.6082E+00
  0.8900E-01   0.6158E+00
  0.9000E-01   0.6233E+00
  0.9100E-01   0.6307E+00
  0.9200E-01   0.6380E+00
  0.9300E-01   0.6452E+00
  0.9400E-01   0.6522E+00
  0.9500E-01   0.6592E+00
  0.9600E-01   0.6661E+00
  0.9700E-01   0.6740E+00
  0.9800E-01   0.6817E+00
  0.9900E-01   0.6894E+00
  0.1000E+00   0.6969E+00
