      rx_fcc       ry_fcc       rz_fcc
  0.2443E+01  -0.3420E+01  -0.3420E+01
 -0.2495E+01  -0.2565E+01  -0.3420E+01
  0.3043E+01  -0.3420E+01  -0.2565E+01
 -0.3154E+01  -0.2565E+01  -0.2565E+01
  0.2456E+01  -0.3420E+01  -0.1710E+01
 -0.2485E+01  -0.2565E+01  -0.1710E+01
  0.3065E+01  -0.3420E+01  -0.8550E+00
 -0.3141E+01  -0.2565E+01  -0.8550E+00
  0.2457E+01  -0.3420E+01   0.0000E+00
 -0.2482E+01  -0.2565E+01   0.0000E+00
  0.3059E+01  -0.3420E+01   0.8550E+00
 -0.3151E+01  -0.2565E+01   0.8550E+00
  0.2441E+01  -0.3420E+01   0.1710E+01
 -0.2490E+01  -0.2565E+01   0.1710E+01
  0.3039E+01  -0.3420E+01   0.2565E+01
 -0.3159E+01  -0.2565E+01   0.2565E+01
  0.2454E+01  -0.1710E+01  -0.3420E+01
 -0.2487E+01  -0.8550E+00  -0.3420E+01
  0.3054E+01  -0.1710E+01  -0.2565E+01
 -0.3147E+01  -0.8550E+00  -0.2565E+01
  0.2460E+01  -0.1710E+01  -0.1710E+01
 -0.2487E+01  -0.8550E+00  -0.1710E+01
  0.3061E+01  -0.1710E+01  -0.8550E+00
 -0.3144E+01  -0.8550E+00  -0.8550E+00
  0.2459E+01  -0.1710E+01   0.0000E+00
 -0.2476E+01  -0.8550E+00   0.0000E+00
  0.3053E+01  -0.1710E+01   0.8550E+00
 -0.3143E+01  -0.8550E+00   0.8550E+00
  0.2462E+01  -0.1710E+01   0.1710E+01
 -0.2449E+01  -0.8550E+00   0.1710E+01
  0.3058E+01  -0.1710E+01   0.2565E+01
 -0.3127E+01  -0.8550E+00   0.2565E+01
  0.2468E+01   0.0000E+00  -0.3420E+01
 -0.2460E+01   0.8550E+00  -0.3420E+01
  0.3063E+01   0.0000E+00  -0.2565E+01
 -0.3137E+01   0.8550E+00  -0.2565E+01
  0.2464E+01   0.0000E+00  -0.1710E+01
 -0.2447E+01   0.8550E+00  -0.1710E+01
  0.3055E+01   0.0000E+00  -0.8550E+00
 -0.3129E+01   0.8550E+00  -0.8550E+00
  0.2458E+01   0.0000E+00   0.0000E+00
 -0.2463E+01   0.8550E+00   0.0000E+00
  0.3052E+01   0.0000E+00   0.8550E+00
 -0.3141E+01   0.8550E+00   0.8550E+00
  0.2456E+01   0.0000E+00   0.1710E+01
 -0.2435E+01   0.8550E+00   0.1710E+01
  0.3055E+01   0.0000E+00   0.2565E+01
 -0.3103E+01   0.8550E+00   0.2565E+01
  0.2461E+01   0.1710E+01  -0.3420E+01
 -0.2465E+01   0.2565E+01  -0.3420E+01
  0.3059E+01   0.1710E+01  -0.2565E+01
 -0.3119E+01   0.2565E+01  -0.2565E+01
  0.2469E+01   0.1710E+01  -0.1710E+01
 -0.2455E+01   0.2565E+01  -0.1710E+01
  0.3057E+01   0.1710E+01  -0.8550E+00
 -0.3119E+01   0.2565E+01  -0.8550E+00
  0.2452E+01   0.1710E+01   0.0000E+00
 -0.2430E+01   0.2565E+01   0.0000E+00
  0.3053E+01   0.1710E+01   0.8550E+00
 -0.3108E+01   0.2565E+01   0.8550E+00
  0.2456E+01   0.1710E+01   0.1710E+01
 -0.2437E+01   0.2565E+01   0.1710E+01
  0.3046E+01   0.1710E+01   0.2565E+01
 -0.3113E+01   0.2565E+01   0.2565E+01
 -0.3195E+01  -0.3420E+01  -0.3420E+01
 -0.1112E+01  -0.2565E+01  -0.3420E+01
 -0.2556E+01  -0.3420E+01  -0.2565E+01
 -0.1788E+01  -0.2565E+01  -0.2565E+01
 -0.3198E+01  -0.3420E+01  -0.1710E+01
 -0.1105E+01  -0.2565E+01  -0.1710E+01
 -0.2555E+01  -0.3420E+01  -0.8550E+00
 -0.1795E+01  -0.2565E+01  -0.8550E+00
 -0.3199E+01  -0.3420E+01   0.0000E+00
 -0.1169E+01  -0.2565E+01   0.0000E+00
 -0.2548E+01  -0.3420E+01   0.8550E+00
 -0.1807E+01  -0.2565E+01   0.8550E+00
 -0.3194E+01  -0.3420E+01   0.1710E+01
 -0.1174E+01  -0.2565E+01   0.1710E+01
 -0.2547E+01  -0.3420E+01   0.2565E+01
 -0.1796E+01  -0.2565E+01   0.2565E+01
 -0.3169E+01  -0.1710E+01  -0.3420E+01
 -0.1098E+01  -0.8550E+00  -0.3420E+01
 -0.2506E+01  -0.1710E+01  -0.2565E+01
 -0.1778E+01  -0.8550E+00  -0.2565E+01
 -0.3160E+01  -0.1710E+01  -0.1710E+01
 -0.1088E+01  -0.8550E+00  -0.1710E+01
 -0.2508E+01  -0.1710E+01  -0.8550E+00
 -0.1760E+01  -0.8550E+00  -0.8550E+00
 -0.3159E+01  -0.1710E+01   0.0000E+00
 -0.1061E+01  -0.8550E+00   0.0000E+00
 -0.2509E+01  -0.1710E+01   0.8550E+00
 -0.1735E+01  -0.8550E+00   0.8550E+00
 -0.3157E+01  -0.1710E+01   0.1710E+01
 -0.1045E+01  -0.8550E+00   0.1710E+01
 -0.2503E+01  -0.1710E+01   0.2565E+01
 -0.1736E+01  -0.8550E+00   0.2565E+01
 -0.3150E+01   0.0000E+00  -0.3420E+01
 -0.9984E+00   0.8550E+00  -0.3420E+01
 -0.2491E+01   0.0000E+00  -0.2565E+01
 -0.1727E+01   0.8550E+00  -0.2565E+01
 -0.3145E+01   0.0000E+00  -0.1710E+01
 -0.9984E+00   0.8550E+00  -0.1710E+01
 -0.2470E+01   0.0000E+00  -0.8550E+00
 -0.1725E+01   0.8550E+00  -0.8550E+00
 -0.3153E+01   0.0000E+00   0.0000E+00
 -0.1008E+01   0.8550E+00   0.0000E+00
 -0.2482E+01   0.0000E+00   0.8550E+00
 -0.1725E+01   0.8550E+00   0.8550E+00
 -0.3147E+01   0.0000E+00   0.1710E+01
 -0.9626E+00   0.8550E+00   0.1710E+01
