      rx_fcc       ry_fcc       rz_fcc
  0.1886E+01   0.3116E+01   0.3111E+01
  0.2460E+01   0.3840E+01   0.2150E+01
  0.2944E+01   0.3095E+01   0.2865E+01
  0.1880E+01   0.3948E+01   0.3723E+01
  0.2249E+01   0.3254E+01  -0.2859E+01
  0.3394E+01   0.2984E+01   0.3959E+01
  0.2997E+01   0.2787E+01  -0.3577E+01
  0.2625E+01   0.4238E+01  -0.2841E+01
  0.2578E+01   0.2584E+01  -0.2055E+01
  0.3172E+01   0.3771E+01  -0.1996E+01
  0.3031E+01   0.2503E+01  -0.1126E+01
  0.2053E+01   0.3528E+01  -0.1683E+01
  0.2977E+01   0.2738E+01  -0.8204E-01
  0.2847E+01   0.3597E+01  -0.1003E+01
  0.3105E+01   0.2619E+01   0.1058E+01
  0.1889E+01   0.3699E+01  -0.5507E+00
  0.3454E+01   0.3425E+01   0.1889E+01
  0.2774E+01   0.3824E+01   0.5324E-02
  0.3345E+01   0.2374E+01   0.2090E+01
  0.2410E+01   0.3707E+01   0.1054E+01
  0.2735E+01  -0.4150E+01   0.4129E+01
  0.2653E+01  -0.3536E+01   0.2277E+01
  0.3487E+01   0.3875E+01  -0.3860E+01
  0.2117E+01  -0.3180E+01   0.4063E+01
  0.2404E+01   0.3594E+01  -0.3840E+01
  0.3044E+01  -0.2747E+01   0.3865E+01
  0.3577E+01   0.3441E+01  -0.2904E+01
  0.2798E+01  -0.3096E+01  -0.3649E+01
  0.2277E+01  -0.3711E+01  -0.1453E+01
  0.2281E+01  -0.2925E+01  -0.2659E+01
  0.3350E+01  -0.4091E+01  -0.1185E+01
  0.1996E+01  -0.2503E+01  -0.1655E+01
  0.2681E+01  -0.3821E+01  -0.3850E+00
  0.3083E+01  -0.3051E+01  -0.1047E+01
  0.2914E+01  -0.3935E+01   0.6661E+00
  0.3123E+01  -0.2860E+01   0.2274E+00
  0.3328E+01  -0.4132E+01   0.1641E+01
  0.2675E+01  -0.3000E+01   0.1245E+01
  0.3729E+01   0.4108E+01   0.2603E+01
  0.1909E+01  -0.2723E+01   0.2066E+01
  0.2714E+01  -0.2577E+01   0.2958E+01
  0.2668E+01  -0.1413E+01   0.2572E+01
  0.3383E+01  -0.3456E+01   0.3183E+01
  0.2273E+01  -0.7599E+00   0.3290E+01
  0.2743E+01  -0.2052E+01  -0.3876E+01
  0.3028E+01  -0.1691E+01   0.3601E+01
  0.3112E+01  -0.2234E+01  -0.2969E+01
  0.2591E+01  -0.9525E+00  -0.4246E+01
  0.3065E+01  -0.2371E+01  -0.1795E+01
  0.2166E+01  -0.9904E+00  -0.2642E+01
  0.3892E+01  -0.2421E+01  -0.1256E+01
  0.2387E+01  -0.1248E+01  -0.1595E+01
  0.3058E+01  -0.1989E+01   0.8344E+00
  0.3340E+01  -0.1364E+01  -0.1178E+01
  0.3997E+01  -0.2333E+01   0.1165E+01
  0.3206E+01  -0.1002E+01   0.1639E+00
  0.2904E+01  -0.2175E+01   0.1902E+01
  0.3075E+01  -0.1071E+01   0.1364E+01
  0.3634E+01  -0.3059E+01   0.2047E+01
  0.2009E+01  -0.8462E+00   0.1556E+01
  0.3487E+01  -0.7941E+00   0.3437E+01
  0.3374E+01   0.2111E+00   0.2791E+01
  0.3749E+01  -0.1260E+01  -0.4133E+01
