         rij       g(rij)
  0.6412E-02   0.0000E+00
  0.1069E-01   0.0000E+00
  0.1496E-01   0.0000E+00
  0.1924E-01   0.0000E+00
  0.2351E-01   0.0000E+00
  0.2779E-01   0.0000E+00
  0.3206E-01   0.0000E+00
  0.3634E-01   0.0000E+00
  0.4061E-01   0.0000E+00
  0.4489E-01   0.0000E+00
  0.4916E-01   0.0000E+00
  0.5344E-01   0.0000E+00
  0.5771E-01   0.0000E+00
  0.6199E-01   0.0000E+00
  0.6626E-01   0.0000E+00
  0.7054E-01   0.0000E+00
  0.7481E-01   0.0000E+00
  0.7909E-01   0.0000E+00
  0.8336E-01   0.0000E+00
  0.8764E-01   0.0000E+00
  0.9191E-01   0.0000E+00
  0.9619E-01   0.0000E+00
  0.1005E+00   0.0000E+00
  0.1047E+00   0.0000E+00
  0.1090E+00   0.0000E+00
  0.1133E+00   0.0000E+00
  0.1176E+00   0.0000E+00
  0.1218E+00   0.0000E+00
  0.1261E+00   0.0000E+00
  0.1304E+00   0.0000E+00
  0.1347E+00   0.0000E+00
  0.1389E+00   0.0000E+00
  0.1432E+00   0.0000E+00
  0.1475E+00   0.0000E+00
  0.1518E+00   0.0000E+00
  0.1560E+00   0.0000E+00
  0.1603E+00   0.0000E+00
  0.1646E+00   0.0000E+00
  0.1689E+00   0.0000E+00
  0.1731E+00   0.0000E+00
  0.1774E+00   0.0000E+00
  0.1817E+00   0.0000E+00
  0.1860E+00   0.0000E+00
  0.1902E+00   0.0000E+00
  0.1945E+00   0.0000E+00
  0.1988E+00   0.0000E+00
  0.2031E+00   0.0000E+00
  0.2073E+00   0.0000E+00
  0.2116E+00   0.0000E+00
  0.2159E+00   0.0000E+00
  0.2202E+00   0.0000E+00
  0.2244E+00   0.0000E+00
  0.2287E+00   0.0000E+00
  0.2330E+00   0.0000E+00
  0.2373E+00   0.0000E+00
  0.2415E+00   0.0000E+00
  0.2458E+00   0.0000E+00
  0.2501E+00   0.0000E+00
  0.2544E+00   0.0000E+00
  0.2586E+00   0.0000E+00
  0.2629E+00   0.0000E+00
  0.2672E+00   0.0000E+00
  0.2715E+00   0.0000E+00
  0.2757E+00   0.0000E+00
  0.2800E+00   0.0000E+00
  0.2843E+00   0.0000E+00
  0.2886E+00   0.0000E+00
  0.2928E+00   0.0000E+00
  0.2971E+00   0.0000E+00
  0.3014E+00   0.0000E+00
  0.3057E+00   0.0000E+00
  0.3099E+00   0.0000E+00
  0.3142E+00   0.0000E+00
  0.3185E+00   0.0000E+00
  0.3228E+00   0.0000E+00
  0.3270E+00   0.0000E+00
  0.3313E+00   0.0000E+00
  0.3356E+00   0.0000E+00
  0.3399E+00   0.0000E+00
  0.3441E+00   0.0000E+00
  0.3484E+00   0.0000E+00
  0.3527E+00   0.0000E+00
  0.3570E+00   0.0000E+00
  0.3612E+00   0.0000E+00
  0.3655E+00   0.0000E+00
  0.3698E+00   0.0000E+00
  0.3741E+00   0.0000E+00
