        time     pot_ergy        press
  0.1000E-02  -0.4957E+01   0.6364E+00
  0.2000E-02  -0.4952E+01   0.6457E+00
  0.3000E-02  -0.4938E+01   0.6803E+00
  0.4000E-02  -0.4918E+01   0.7755E+00
  0.5000E-02  -0.4927E+01   0.7352E+00
  0.6000E-02  -0.4934E+01   0.7121E+00
  0.7000E-02  -0.4944E+01   0.6734E+00
  0.8000E-02  -0.4965E+01   0.5782E+00
  0.9000E-02  -0.4978E+01   0.5128E+00
  0.1000E-01  -0.4992E+01   0.4444E+00
  0.1100E-01  -0.4994E+01   0.4376E+00
  0.1200E-01  -0.5006E+01   0.3788E+00
  0.1300E-01  -0.5005E+01   0.3908E+00
  0.1400E-01  -0.4996E+01   0.4364E+00
  0.1500E-01  -0.4982E+01   0.5042E+00
  0.1600E-01  -0.4956E+01   0.6169E+00
  0.1700E-01  -0.4956E+01   0.6164E+00
  0.1800E-01  -0.4950E+01   0.6497E+00
  0.1900E-01  -0.4931E+01   0.7400E+00
  0.2000E-01  -0.4932E+01   0.7413E+00
  0.2100E-01  -0.4938E+01   0.7144E+00
  0.2200E-01  -0.4943E+01   0.6954E+00
  0.2300E-01  -0.4953E+01   0.6519E+00
  0.2400E-01  -0.4960E+01   0.6160E+00
  0.2500E-01  -0.4966E+01   0.5884E+00
  0.2600E-01  -0.4969E+01   0.5762E+00
  0.2700E-01  -0.4951E+01   0.6596E+00
  0.2800E-01  -0.4932E+01   0.7407E+00
  0.2900E-01  -0.4923E+01   0.7726E+00
  0.3000E-01  -0.4896E+01   0.8834E+00
  0.3100E-01  -0.4885E+01   0.9243E+00
  0.3200E-01  -0.4883E+01   0.9333E+00
  0.3300E-01  -0.4887E+01   0.9140E+00
  0.3400E-01  -0.4892E+01   0.8909E+00
  0.3500E-01  -0.4886E+01   0.9210E+00
  0.3600E-01  -0.4889E+01   0.9144E+00
  0.3700E-01  -0.4889E+01   0.9188E+00
  0.3800E-01  -0.4890E+01   0.9189E+00
  0.3900E-01  -0.4896E+01   0.9003E+00
  0.4000E-01  -0.4901E+01   0.8759E+00
  0.4100E-01  -0.4907E+01   0.8523E+00
  0.4200E-01  -0.4911E+01   0.8317E+00
  0.4300E-01  -0.4916E+01   0.8085E+00
  0.4400E-01  -0.4922E+01   0.7812E+00
  0.4500E-01  -0.4926E+01   0.7581E+00
  0.4600E-01  -0.4933E+01   0.7285E+00
  0.4700E-01  -0.4935E+01   0.7165E+00
  0.4800E-01  -0.4938E+01   0.7016E+00
  0.4900E-01  -0.4940E+01   0.6920E+00
  0.5000E-01  -0.4941E+01   0.6817E+00
  0.5100E-01  -0.4944E+01   0.6681E+00
  0.5200E-01  -0.4945E+01   0.6608E+00
  0.5300E-01  -0.4948E+01   0.6448E+00
  0.5400E-01  -0.4952E+01   0.6309E+00
  0.5500E-01  -0.4957E+01   0.6068E+00
  0.5600E-01  -0.4963E+01   0.5807E+00
  0.5700E-01  -0.4967E+01   0.5608E+00
  0.5800E-01  -0.4971E+01   0.5413E+00
  0.5900E-01  -0.4976E+01   0.5168E+00
  0.6000E-01  -0.4978E+01   0.5058E+00
  0.6100E-01  -0.4973E+01   0.5259E+00
  0.6200E-01  -0.4971E+01   0.5375E+00
  0.6300E-01  -0.4968E+01   0.5524E+00
  0.6400E-01  -0.4966E+01   0.5641E+00
  0.6500E-01  -0.4965E+01   0.5769E+00
  0.6600E-01  -0.4960E+01   0.6050E+00
  0.6700E-01  -0.4955E+01   0.6297E+00
  0.6800E-01  -0.4953E+01   0.6430E+00
  0.6900E-01  -0.4954E+01   0.6432E+00
  0.7000E-01  -0.4954E+01   0.6520E+00
  0.7100E-01  -0.4954E+01   0.6561E+00
  0.7200E-01  -0.4954E+01   0.6634E+00
  0.7300E-01  -0.4954E+01   0.6677E+00
  0.7400E-01  -0.4952E+01   0.6788E+00
  0.7500E-01  -0.4951E+01   0.6853E+00
  0.7600E-01  -0.4951E+01   0.6838E+00
  0.7700E-01  -0.4948E+01   0.6962E+00
  0.7800E-01  -0.4943E+01   0.7199E+00
  0.7900E-01  -0.4939E+01   0.7349E+00
  0.8000E-01  -0.4935E+01   0.7516E+00
  0.8100E-01  -0.4936E+01   0.7437E+00
  0.8200E-01  -0.4937E+01   0.7388E+00
  0.8300E-01  -0.4938E+01   0.7266E+00
  0.8400E-01  -0.4939E+01   0.7167E+00
  0.8500E-01  -0.4940E+01   0.7050E+00
  0.8600E-01  -0.4941E+01   0.6980E+00
  0.8700E-01  -0.4941E+01   0.6905E+00
  0.8800E-01  -0.4943E+01   0.6808E+00
  0.8900E-01  -0.4944E+01   0.6736E+00
  0.9000E-01  -0.4944E+01   0.6706E+00
  0.9100E-01  -0.4947E+01   0.6565E+00
  0.9200E-01  -0.4951E+01   0.6353E+00
  0.9300E-01  -0.4955E+01   0.6139E+00
  0.9400E-01  -0.4959E+01   0.5922E+00
  0.9500E-01  -0.4963E+01   0.5700E+00
  0.9600E-01  -0.4967E+01   0.5495E+00
  0.9700E-01  -0.4970E+01   0.5302E+00
  0.9800E-01  -0.4974E+01   0.5110E+00
  0.9900E-01  -0.4977E+01   0.4918E+00
  0.1000E+00  -0.4981E+01   0.4724E+00
  0.1010E+00  -0.4984E+01   0.4547E+00
  0.1020E+00  -0.4985E+01   0.4423E+00
  0.1030E+00  -0.4987E+01   0.4277E+00
  0.1040E+00  -0.4989E+01   0.4157E+00
  0.1050E+00  -0.4989E+01   0.4071E+00
  0.1060E+00  -0.4990E+01   0.3991E+00
  0.1070E+00  -0.4990E+01   0.3963E+00
  0.1080E+00  -0.4992E+01   0.3828E+00
  0.1090E+00  -0.4994E+01   0.3662E+00
  0.1100E+00  -0.4996E+01   0.3508E+00
  0.1110E+00  -0.4999E+01   0.3350E+00
  0.1120E+00  -0.5000E+01   0.3255E+00
  0.1130E+00  -0.5000E+01   0.3235E+00
  0.1140E+00  -0.5001E+01   0.3107E+00
  0.1150E+00  -0.5004E+01   0.2950E+00
  0.1160E+00  -0.5006E+01   0.2793E+00
  0.1170E+00  -0.5008E+01   0.2673E+00
  0.1180E+00  -0.5010E+01   0.2550E+00
  0.1190E+00  -0.5012E+01   0.2414E+00
  0.1200E+00  -0.5013E+01   0.2311E+00
  0.1210E+00  -0.5015E+01   0.2188E+00
  0.1220E+00  -0.5018E+01   0.2036E+00
  0.1230E+00  -0.5020E+01   0.1921E+00
  0.1240E+00  -0.5021E+01   0.1811E+00
  0.1250E+00  -0.5023E+01   0.1697E+00
  0.1260E+00  -0.5023E+01   0.1673E+00
  0.1270E+00  -0.5022E+01   0.1690E+00
  0.1280E+00  -0.5020E+01   0.1749E+00
  0.1290E+00  -0.5018E+01   0.1807E+00
  0.1300E+00  -0.5019E+01   0.1741E+00
  0.1310E+00  -0.5019E+01   0.1719E+00
  0.1320E+00  -0.5019E+01   0.1686E+00
  0.1330E+00  -0.5020E+01   0.1630E+00
  0.1340E+00  -0.5017E+01   0.1708E+00
  0.1350E+00  -0.5012E+01   0.1888E+00
  0.1360E+00  -0.5012E+01   0.1889E+00
  0.1370E+00  -0.5011E+01   0.1912E+00
  0.1380E+00  -0.5010E+01   0.1890E+00
  0.1390E+00  -0.5011E+01   0.1816E+00
  0.1400E+00  -0.5013E+01   0.1731E+00
  0.1410E+00  -0.5014E+01   0.1637E+00
  0.1420E+00  -0.5015E+01   0.1558E+00
  0.1430E+00  -0.5016E+01   0.1471E+00
  0.1440E+00  -0.5018E+01   0.1369E+00
  0.1450E+00  -0.5018E+01   0.1323E+00
  0.1460E+00  -0.5017E+01   0.1349E+00
  0.1470E+00  -0.5018E+01   0.1307E+00
  0.1480E+00  -0.5019E+01   0.1261E+00
  0.1490E+00  -0.5017E+01   0.1309E+00
  0.1500E+00  -0.5015E+01   0.1391E+00
  0.1510E+00  -0.5016E+01   0.1351E+00
  0.1520E+00  -0.5017E+01   0.1308E+00
  0.1530E+00  -0.5016E+01   0.1352E+00
  0.1540E+00  -0.5013E+01   0.1466E+00
  0.1550E+00  -0.5011E+01   0.1540E+00
  0.1560E+00  -0.5010E+01   0.1607E+00
  0.1570E+00  -0.5007E+01   0.1736E+00
  0.1580E+00  -0.5007E+01   0.1772E+00
  0.1590E+00  -0.5007E+01   0.1761E+00
  0.1600E+00  -0.5004E+01   0.1867E+00
  0.1610E+00  -0.5004E+01   0.1909E+00
  0.1620E+00  -0.5002E+01   0.1978E+00
  0.1630E+00  -0.4999E+01   0.2118E+00
  0.1640E+00  -0.5000E+01   0.2113E+00
  0.1650E+00  -0.4998E+01   0.2200E+00
  0.1660E+00  -0.4998E+01   0.2204E+00
  0.1670E+00  -0.4998E+01   0.2181E+00
  0.1680E+00  -0.4999E+01   0.2156E+00
  0.1690E+00  -0.5000E+01   0.2118E+00
  0.1700E+00  -0.5001E+01   0.2075E+00
  0.1710E+00  -0.5002E+01   0.2009E+00
  0.1720E+00  -0.5003E+01   0.1945E+00
  0.1730E+00  -0.5005E+01   0.1865E+00
  0.1740E+00  -0.5007E+01   0.1785E+00
  0.1750E+00  -0.5008E+01   0.1713E+00
  0.1760E+00  -0.5010E+01   0.1661E+00
  0.1770E+00  -0.5011E+01   0.1589E+00
  0.1780E+00  -0.5012E+01   0.1536E+00
  0.1790E+00  -0.5013E+01   0.1498E+00
  0.1800E+00  -0.5014E+01   0.1473E+00
  0.1810E+00  -0.5014E+01   0.1487E+00
  0.1820E+00  -0.5014E+01   0.1498E+00
  0.1830E+00  -0.5015E+01   0.1456E+00
  0.1840E+00  -0.5017E+01   0.1379E+00
  0.1850E+00  -0.5018E+01   0.1335E+00
  0.1860E+00  -0.5019E+01   0.1294E+00
  0.1870E+00  -0.5020E+01   0.1234E+00
  0.1880E+00  -0.5022E+01   0.1168E+00
  0.1890E+00  -0.5023E+01   0.1128E+00
  0.1900E+00  -0.5024E+01   0.1075E+00
  0.1910E+00  -0.5024E+01   0.1068E+00
  0.1920E+00  -0.5025E+01   0.1030E+00
  0.1930E+00  -0.5026E+01   0.9882E-01
  0.1940E+00  -0.5026E+01   0.1008E+00
  0.1950E+00  -0.5027E+01   0.9622E-01
  0.1960E+00  -0.5028E+01   0.9370E-01
  0.1970E+00  -0.5028E+01   0.9543E-01
  0.1980E+00  -0.5028E+01   0.9446E-01
  0.1990E+00  -0.5028E+01   0.9448E-01
  0.2000E+00  -0.5024E+01   0.1130E+00
  0.2010E+00  -0.5023E+01   0.1140E+00
  0.2020E+00  -0.5025E+01   0.1095E+00
  0.2030E+00  -0.5025E+01   0.1105E+00
  0.2040E+00  -0.5022E+01   0.1223E+00
  0.2050E+00  -0.5021E+01   0.1280E+00
  0.2060E+00  -0.5020E+01   0.1335E+00
  0.2070E+00  -0.5019E+01   0.1379E+00
  0.2080E+00  -0.5019E+01   0.1395E+00
  0.2090E+00  -0.5018E+01   0.1443E+00
  0.2100E+00  -0.5018E+01   0.1482E+00
  0.2110E+00  -0.5016E+01   0.1582E+00
  0.2120E+00  -0.5014E+01   0.1677E+00
  0.2130E+00  -0.5012E+01   0.1771E+00
  0.2140E+00  -0.5010E+01   0.1886E+00
  0.2150E+00  -0.5007E+01   0.2014E+00
  0.2160E+00  -0.5006E+01   0.2068E+00
  0.2170E+00  -0.5005E+01   0.2125E+00
  0.2180E+00  -0.5005E+01   0.2159E+00
